Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2024-01-19,vs MIN,0,1,1,1,0,0,0,0,0,0,0,3,24:10,24,2024,202324,1,24:10,24:10,1450,MIN,MIN
2024-01-22,@ NSH,1,1,2,3,0,0,0,0,0,0,0,7,19:40,22,2024,202324,0,19:40,19:40,1180,NSH,NSH
2024-01-24,vs ARI,2,1,3,3,0,0,0,0,0,0,0,3,14:18,20,2024,202324,1,14:18,14:18,858,ARI,ARI
2024-01-26,@ PIT,0,1,1,0,0,0,0,0,0,0,0,2,17:06,26,2024,202324,0,17:06,17:06,1026,PIT,PIT
2024-01-27,@ NYI,1,1,2,-1,0,1,1,0,0,0,0,3,19:14,23,2024,202324,0,19:14,19:14,1154,NYI,NYI
2024-02-06,vs PHI,0,0,0,-1,0,0,0,0,0,0,0,1,18:42,22,2024,202324,1,18:42,18:42,1122,PHI,PHI
2024-02-08,vs WSH,1,2,3,1,2,0,0,0,0,0,0,3,17:47,20,2024,202324,1,17:47,17:47,1067,WSH,WSH
2024-02-10,vs COL,0,2,2,0,0,0,0,0,0,0,0,3,16:15,22,2024,202324,1,16:15,16:15,975,COL,COL
2024-02-14,@ PIT,1,2,3,1,0,0,0,0,0,0,0,2,17:48,20,2024,202324,0,17:48,17:48,1068,PIT,PIT
2024-02-15,@ BUF,0,1,1,1,0,0,0,0,0,0,0,2,17:03,21,2024,202324,0,17:03,17:03,1023,BUF,BUF
2024-02-17,@ TBL,2,2,4,3,10,2,2,0,0,0,0,2,12:24,18,2024,202324,0,12:24,12:24,744,TBL,TBL
2024-02-20,vs OTT,0,1,1,0,0,0,0,0,0,0,0,6,20:11,22,2024,202324,1,20:11,20:11,1211,OTT,OTT
2024-02-22,@ CAR,0,0,0,0,0,0,0,0,0,0,0,0,5:39,8,2024,202324,0,5:39,5:39,339,CAR,CAR
2024-02-27,vs BUF,1,1,2,1,2,1,1,0,0,0,0,7,22:01,23,2024,202324,1,22:01,22:01,1321,BUF,BUF
2024-02-29,vs MTL,0,1,1,-1,2,0,0,0,0,0,0,2,23:36,21,2024,202324,1,23:36,23:36,1416,MTL,MTL
2024-03-02,@ DET,0,0,0,0,2,0,0,0,0,0,0,5,20:24,19,2024,202324,0,20:24,20:24,1224,DET,DET
2024-03-04,@ NYR,0,0,0,0,2,0,0,0,0,0,0,4,20:10,25,2024,202324,0,20:10,20:10,1210,NYR,NYR
2024-03-05,@ NJD,0,3,3,2,0,0,0,0,0,0,0,1,18:07,24,2024,202324,0,18:07,18:07,1087,NJD,NJD
2024-03-07,vs PHI,0,0,0,-2,2,0,0,0,0,0,0,2,20:07,24,2024,202324,1,20:07,20:07,1207,PHI,PHI
2024-03-09,vs CGY,0,1,1,1,0,0,0,0,0,0,0,4,16:07,19,2024,202324,1,16:07,16:07,967,CGY,CGY
2024-03-12,@ DAL,0,2,2,0,0,0,0,0,0,0,0,4,19:31,22,2024,202324,0,19:31,19:31,1171,DAL,DAL
2024-03-14,@ CAR,0,0,0,-2,6,0,0,0,0,0,0,1,13:06,17,2024,202324,0,13:06,13:06,786,CAR,CAR
2024-03-16,vs TBL,1,1,2,-1,0,0,0,1,1,0,0,7,23:42,25,2024,202324,1,23:42,23:42,1422,TBL,TBL
2024-03-21,vs NSH,0,0,0,-1,0,0,0,0,0,0,0,4,17:51,23,2024,202324,1,17:51,17:51,1071,NSH,NSH
2024-03-23,@ NYR,1,1,2,2,0,0,0,0,0,0,0,2,20:58,30,2024,202324,0,20:58,20:58,1258,NYR,NYR
2024-03-24,@ PHI,0,0,0,0,2,0,0,0,0,0,0,0,16:59,20,2024,202324,0,16:59,16:59,1019,PHI,PHI
2024-03-26,vs BOS,0,1,1,-1,2,0,0,0,0,0,0,1,19:22,22,2024,202324,1,19:22,19:22,1162,BOS,BOS
2024-03-28,vs NYI,0,0,0,-3,2,0,0,0,0,0,0,4,17:16,21,2024,202324,1,17:16,17:16,1036,NYI,NYI
2024-03-30,vs DET,0,0,0,0,0,0,0,0,0,0,0,3,16:37,23,2024,202324,1,16:37,16:37,997,DET,DET
2024-04-01,@ TOR,0,1,1,1,0,0,0,0,0,0,0,4,19:32,25,2024,202324,0,19:32,19:32,1172,TOR,TOR
2024-04-04,@ OTT,1,2,3,2,0,1,1,0,0,0,0,1,12:56,18,2024,202324,0,12:56,12:56,776,OTT,OTT
2024-04-06,@ BOS,1,0,1,1,4,0,0,0,0,0,0,5,18:45,25,2024,202324,0,18:45,18:45,1125,BOS,BOS
2024-04-09,vs OTT,0,0,0,1,0,0,0,0,0,0,0,1,19:12,21,2024,202324,1,19:12,19:12,1152,OTT,OTT
2024-04-11,vs CBJ,1,0,1,1,0,0,0,0,0,1,0,3,17:17,18,2024,202324,1,17:17,17:17,1037,CBJ,CBJ
2024-04-13,vs BUF,0,1,1,2,0,0,0,0,0,0,0,7,22:08,22,2024,202324,1,22:08,22:08,1328,BUF,BUF
2024-04-16,vs TOR,0,2,2,2,2,0,0,0,0,0,0,8,18:27,21,2024,202324,1,18:27,18:27,1107,TOR,TOR
2022-10-13,@ NYI,1,0,1,1,0,0,0,0,0,0,0,4,22:58,27,2022,202223,0,22:58,22:58,1378,NYI,NYI
2022-10-15,@ BUF,1,1,2,-1,4,0,0,0,0,0,0,4,20:05,24,2022,202223,0,20:05,20:05,1205,BUF,BUF
2022-10-17,@ BOS,0,1,1,-2,4,0,0,0,0,0,0,6,21:36,21,2022,202223,0,21:36,21:36,1296,BOS,BOS
2022-10-19,vs PHI,0,2,2,2,0,0,0,0,0,0,0,4,18:49,23,2022,202223,1,18:49,18:49,1129,PHI,PHI
2022-10-21,vs TBL,1,1,2,1,6,0,0,0,0,0,0,6,21:04,27,2022,202223,1,21:04,21:04,1264,TBL,TBL
2022-10-23,vs NYI,0,0,0,0,2,0,0,0,0,0,0,5,19:02,21,2022,202223,1,19:02,19:02,1142,NYI,NYI
2022-10-25,@ CHI,1,0,1,-2,2,0,0,0,0,0,0,3,22:26,24,2022,202223,0,22:26,22:26,1346,CHI,CHI
2022-10-27,@ PHI,0,1,1,0,0,0,0,0,0,0,0,7,24:27,24,2022,202223,0,24:27,24:27,1467,PHI,PHI
2022-10-29,vs OTT,1,2,3,4,0,0,0,0,0,0,0,7,20:52,24,2022,202223,1,20:52,20:52,1252,OTT,OTT
2022-11-01,@ ARI,0,0,0,-1,0,0,0,0,0,0,0,4,23:27,26,2022,202223,0,23:27,23:27,1407,ARI,ARI
2022-11-03,@ SJS,0,3,3,2,0,0,0,0,0,0,0,10,24:42,27,2022,202223,0,24:42,24:42,1482,SJS,SJS
2022-11-05,@ LAK,0,1,1,2,12,0,0,0,0,0,0,3,21:49,25,2022,202223,0,21:49,21:49,1309,LAK,LAK
2022-11-12,vs EDM,0,0,0,-2,0,0,0,0,0,0,0,5,20:48,23,2022,202223,1,20:48,20:48,1248,EDM,EDM
2022-11-15,vs WSH,0,3,3,4,2,0,0,0,0,0,0,0,16:47,23,2022,202223,1,16:47,16:47,1007,WSH,WSH
2022-11-17,vs DAL,1,1,2,0,5,0,0,0,0,0,0,4,19:14,25,2022,202223,1,19:14,19:14,1154,DAL,DAL
2022-11-19,vs CGY,1,1,2,1,0,0,0,0,0,0,0,2,21:59,25,2022,202223,1,21:59,21:59,1319,CGY,CGY
2022-11-20,@ CBJ,1,0,1,0,0,0,0,0,0,0,0,3,22:16,22,2022,202223,0,22:16,22:16,1336,CBJ,CBJ
2022-11-23,vs BOS,1,1,2,0,0,1,1,0,0,0,0,6,18:43,21,2022,202223,1,18:43,18:43,1123,BOS,BOS
2022-11-26,vs STL,0,0,0,-1,0,0,0,0,0,0,0,2,20:17,24,2022,202223,1,20:17,20:17,1217,STL,STL
2022-11-28,@ EDM,1,1,2,-1,0,0,0,0,0,0,0,4,23:01,24,2022,202223,0,23:01,23:01,1381,EDM,EDM
2022-11-29,@ CGY,0,0,0,-2,2,0,0,0,0,0,0,3,21:50,21,2022,202223,0,21:50,21:50,1310,CGY,CGY
2022-12-01,@ VAN,1,2,3,2,0,0,0,0,0,0,0,3,18:56,20,2022,202223,0,18:56,18:56,1136,VAN,VAN
2022-12-03,@ SEA,1,1,2,1,0,1,1,0,0,0,0,3,18:59,26,2022,202223,0,18:59,18:59,1139,SEA,SEA
2022-12-06,@ WPG,0,1,1,-1,2,0,0,0,0,0,0,2,20:37,24,2022,202223,0,20:37,20:37,1237,WPG,WPG
2022-12-08,vs DET,1,1,2,2,0,0,0,0,0,0,0,2,17:04,19,2022,202223,1,17:04,17:04,1024,DET,DET
2022-12-10,@ TBL,0,0,0,-2,0,0,0,0,0,0,0,1,19:25,21,2022,202223,0,19:25,19:25,1165,TBL,TBL
2022-12-11,vs SEA,0,0,0,-3,0,0,0,0,0,0,0,1,17:51,21,2022,202223,1,17:51,17:51,1071,SEA,SEA
2022-12-13,vs CBJ,1,1,2,4,4,0,0,0,0,0,0,3,19:12,21,2022,202223,1,19:12,19:12,1152,CBJ,CBJ
2022-12-17,@ NJD,0,0,0,1,0,0,0,0,0,0,0,0,19:03,24,2022,202223,0,19:03,19:03,1143,NJD,NJD
2022-12-19,@ BOS,0,0,0,-2,0,0,0,0,0,0,0,3,20:58,24,2022,202223,0,20:58,20:58,1258,BOS,BOS
2022-12-21,vs NJD,0,0,0,-1,12,0,0,0,0,0,0,4,19:39,21,2022,202223,1,19:39,19:39,1179,NJD,NJD
2022-12-23,@ NYI,1,0,1,0,0,0,0,0,0,0,0,1,16:40,22,2022,202223,0,16:40,16:40,1000,NYI,NYI
2022-12-29,vs MTL,2,1,3,1,0,2,2,0,0,0,0,9,17:24,17,2022,202223,1,17:24,17:24,1044,MTL,MTL
2022-12-30,@ CAR,0,0,0,0,2,0,0,0,0,0,0,3,19:52,22,2022,202223,0,19:52,19:52,1192,CAR,CAR
2023-01-01,vs NYR,0,0,0,-1,0,0,0,0,0,0,0,1,19:39,21,2023,202223,1,19:39,19:39,1179,NYR,NYR
2023-01-03,vs ARI,3,1,4,2,2,1,1,0,0,0,0,6,21:27,25,2023,202223,1,21:27,21:27,1287,ARI,ARI
2023-01-06,@ DET,0,1,1,-1,0,0,0,0,0,0,0,1,19:27,20,2023,202223,0,19:27,19:27,1167,DET,DET
2023-01-08,@ DAL,0,1,1,-1,0,0,0,0,0,0,0,3,20:50,23,2023,202223,0,20:50,20:50,1250,DAL,DAL
2023-01-10,@ COL,2,0,2,-1,0,1,1,0,0,1,0,7,18:32,25,2023,202223,0,18:32,18:32,1112,COL,COL
2023-01-12,@ VEG,0,1,1,0,2,0,0,0,0,0,0,4,17:23,20,2023,202223,0,17:23,17:23,1043,VEG,VEG
2023-01-14,vs VAN,0,1,1,0,2,0,0,0,0,0,0,3,19:45,21,2023,202223,1,19:45,19:45,1185,VAN,VAN
2023-01-16,@ BUF,0,3,3,3,2,0,0,0,0,0,0,3,17:39,23,2023,202223,0,17:39,17:39,1059,BUF,BUF
2023-01-17,@ TOR,0,0,0,1,0,0,0,0,0,0,0,1,20:36,24,2023,202223,0,20:36,20:36,1236,TOR,TOR
2023-01-19,@ MTL,2,0,2,0,5,2,2,0,0,1,0,9,23:26,20,2023,202223,0,23:26,23:26,1406,MTL,MTL
2023-01-21,vs MIN,0,1,1,-1,0,0,0,0,0,0,0,3,16:21,19,2023,202223,1,16:21,16:21,981,MIN,MIN
2023-01-23,@ NYR,0,1,1,-1,0,0,0,0,0,0,0,2,21:24,21,2023,202223,0,21:24,21:24,1284,NYR,NYR
2023-01-24,@ PIT,1,1,2,3,2,1,1,0,0,0,0,5,23:28,25,2023,202223,0,23:28,23:28,1408,PIT,PIT
2023-01-27,vs LAK,0,2,2,0,0,0,0,0,0,0,0,7,25:36,25,2023,202223,1,25:36,25:36,1536,LAK,LAK
2023-01-28,vs BOS,0,2,2,1,0,0,0,0,0,0,0,5,21:20,29,2023,202223,1,21:20,21:20,1280,BOS,BOS
2023-02-06,vs TBL,2,3,5,5,0,1,1,0,0,0,0,6,15:59,21,2023,202223,1,15:59,15:59,959,TBL,TBL
2023-02-09,vs SJS,0,0,0,-1,0,0,0,0,0,0,0,4,19:27,22,2023,202223,1,19:27,19:27,1167,SJS,SJS
2023-02-11,vs COL,0,2,2,1,0,0,0,0,0,0,0,7,23:53,22,2023,202223,1,23:53,23:53,1433,COL,COL
2023-02-13,@ MIN,0,0,0,0,0,0,0,0,0,0,0,4,24:46,22,2023,202223,0,24:46,24:46,1486,MIN,MIN
2023-02-14,@ STL,0,2,2,-1,0,0,0,0,0,0,0,3,20:19,19,2023,202223,0,20:19,20:19,1219,STL,STL
2023-02-16,@ WSH,0,0,0,1,0,0,0,0,0,0,0,2,19:46,21,2023,202223,0,19:46,19:46,1186,WSH,WSH
