Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2024-01-26,vs FLA,0,1,1,1,0,0,0,0,0,0,0,5,25:32,29,2024,202324,1,25:32,25:32,1532,FLA,FLA
2024-01-27,vs MTL,0,1,1,0,0,0,0,0,0,0,0,1,20:06,25,2024,202324,1,20:06,20:06,1206,MTL,MTL
2024-02-06,vs WPG,0,1,1,0,0,0,0,0,0,0,0,2,19:05,22,2024,202324,1,19:05,19:05,1145,WPG,WPG
2024-02-09,@ MIN,1,0,1,-2,0,1,1,0,0,0,0,5,20:15,22,2024,202324,0,20:15,20:15,1215,MIN,MIN
2024-02-10,@ WPG,0,0,0,0,0,0,0,0,0,0,0,1,19:39,23,2024,202324,0,19:39,19:39,1179,WPG,WPG
2024-02-14,vs FLA,0,0,0,-1,0,0,0,0,0,0,0,3,22:23,26,2024,202324,1,22:23,22:23,1343,FLA,FLA
2024-02-15,@ CHI,2,0,2,3,0,0,0,0,0,0,0,3,18:02,22,2024,202324,0,18:02,18:02,1082,CHI,CHI
2024-02-18,vs LAK,1,0,1,-1,2,1,1,0,0,0,0,2,21:23,26,2024,202324,1,21:23,21:23,1283,LAK,LAK
2024-02-20,vs NYI,0,0,0,-2,0,0,0,0,0,0,0,7,21:40,27,2024,202324,1,21:40,21:40,1300,NYI,NYI
2024-02-22,vs MTL,0,1,1,0,0,0,0,0,0,0,0,2,17:07,26,2024,202324,1,17:07,17:07,1027,MTL,MTL
2024-02-25,vs PHI,1,3,4,2,2,0,0,0,0,0,0,4,18:40,26,2024,202324,1,18:40,18:40,1120,PHI,PHI
2024-02-27,@ VAN,0,2,2,-1,0,0,0,0,0,0,0,5,19:47,26,2024,202324,0,19:47,19:47,1187,VAN,VAN
2024-02-29,@ SEA,0,0,0,0,0,0,0,0,0,0,0,5,21:33,23,2024,202324,0,21:33,21:33,1293,SEA,SEA
2024-03-02,@ CGY,0,1,1,-1,0,0,0,0,0,0,0,4,18:23,25,2024,202324,0,18:23,18:23,1103,CGY,CGY
2024-03-03,@ EDM,0,0,0,-3,0,0,0,0,0,0,0,3,16:52,26,2024,202324,0,16:52,16:52,1012,EDM,EDM
2024-03-05,vs CBJ,0,0,0,-1,0,0,0,0,0,0,0,2,21:31,26,2024,202324,1,21:31,21:31,1291,CBJ,CBJ
2024-03-07,vs WSH,0,0,0,-3,0,0,0,0,0,0,0,8,18:46,21,2024,202324,1,18:46,18:46,1126,WSH,WSH
2024-03-09,@ BOS,0,1,1,-1,0,0,0,0,0,0,0,0,17:58,24,2024,202324,0,17:58,17:58,1078,BOS,BOS
2024-03-10,vs EDM,0,0,0,-3,2,0,0,0,0,0,0,2,19:15,21,2024,202324,1,19:15,19:15,1155,EDM,EDM
2024-03-12,@ OTT,0,0,0,0,2,0,0,0,0,0,0,3,20:39,26,2024,202324,0,20:39,20:39,1239,OTT,OTT
2024-03-14,vs SJS,0,1,1,0,0,0,0,0,0,0,0,3,18:43,23,2024,202324,1,18:43,18:43,1123,SJS,SJS
2024-03-16,vs NYR,0,1,1,-1,0,0,0,0,0,0,0,1,21:48,23,2024,202324,1,21:48,21:48,1308,NYR,NYR
2024-03-17,vs DET,1,1,2,1,0,0,0,0,0,0,0,3,19:09,25,2024,202324,1,19:09,19:09,1149,DET,DET
2024-03-19,@ NJD,0,1,1,0,0,0,0,0,0,0,0,5,21:31,22,2024,202324,0,21:31,21:31,1291,NJD,NJD
2024-03-22,@ DAL,0,0,0,-1,2,0,0,0,0,0,0,0,20:44,26,2024,202324,0,20:44,20:44,1244,DAL,DAL
2024-03-24,@ COL,1,3,4,0,0,0,0,0,0,0,0,5,20:10,28,2024,202324,0,20:10,20:10,1210,COL,COL
2024-03-26,vs CAR,1,2,3,3,0,0,0,0,0,0,0,2,19:50,24,2024,202324,1,19:50,19:50,1190,CAR,CAR
2024-03-28,vs CBJ,0,2,2,-1,2,0,0,0,0,0,0,3,21:02,23,2024,202324,1,21:02,21:02,1262,CBJ,CBJ
2024-03-30,@ CBJ,0,1,1,-1,2,0,0,0,0,0,0,4,22:31,28,2024,202324,0,22:31,22:31,1351,CBJ,CBJ
2024-04-01,@ NYR,2,1,3,3,0,0,0,0,0,0,0,3,19:39,24,2024,202324,0,19:39,19:39,1179,NYR,NYR
2024-04-02,@ NJD,2,0,2,-1,0,1,1,0,0,0,0,2,16:09,23,2024,202324,0,16:09,16:09,969,NJD,NJD
2024-04-04,@ WSH,0,0,0,1,0,0,0,0,0,0,0,0,18:50,25,2024,202324,0,18:50,18:50,1130,WSH,WSH
2024-04-06,vs TBL,1,0,1,1,0,0,0,0,0,0,0,2,18:33,30,2024,202324,1,18:33,18:33,1113,TBL,TBL
2024-04-08,@ TOR,0,1,1,1,0,0,0,0,0,0,0,1,21:15,25,2024,202324,0,21:15,21:15,1275,TOR,TOR
2024-04-11,vs DET,1,2,3,0,2,0,0,0,0,0,0,5,19:35,29,2024,202324,1,19:35,19:35,1175,DET,DET
2024-04-13,vs BOS,0,1,1,-1,0,0,0,0,0,0,0,1,19:48,25,2024,202324,1,19:48,19:48,1188,BOS,BOS
2024-04-15,vs NSH,1,1,2,-1,0,1,1,0,0,0,0,7,20:53,25,2024,202324,1,20:53,20:53,1253,NSH,NSH
2024-04-17,@ NYI,0,2,2,-1,0,0,0,0,0,0,0,3,19:47,22,2024,202324,0,19:47,19:47,1187,NYI,NYI
2022-10-13,vs ARI,1,2,3,1,2,0,0,0,0,0,0,7,18:22,25,2022,202223,1,18:22,18:22,1102,ARI,ARI
2022-10-15,vs TBL,1,2,3,2,0,0,0,0,0,0,0,2,19:17,23,2022,202223,1,19:17,19:17,1157,TBL,TBL
2022-10-17,@ MTL,0,0,0,-2,0,0,0,0,0,0,0,1,18:58,25,2022,202223,0,18:58,18:58,1138,MTL,MTL
2022-10-20,vs LAK,0,1,1,2,2,0,0,0,0,0,0,3,16:50,21,2022,202223,1,16:50,16:50,1010,LAK,LAK
2022-10-22,@ CBJ,1,2,3,1,0,0,0,0,0,1,0,5,20:49,27,2022,202223,0,20:49,20:49,1249,CBJ,CBJ
2022-10-24,@ EDM,1,0,1,0,0,0,0,0,0,0,0,3,19:12,22,2022,202223,0,19:12,19:12,1152,EDM,EDM
2022-10-25,@ CGY,0,0,0,0,0,0,0,0,0,0,0,3,20:30,24,2022,202223,0,20:30,20:30,1230,CGY,CGY
2022-10-28,@ VAN,0,0,0,-2,0,0,0,0,0,0,0,3,23:24,24,2022,202223,0,23:24,23:24,1404,VAN,VAN
2022-10-29,@ SEA,0,0,0,0,0,0,0,0,0,0,0,4,22:33,25,2022,202223,0,22:33,22:33,1353,SEA,SEA
2022-11-01,vs BOS,1,0,1,1,2,0,0,0,0,0,0,3,25:04,27,2022,202223,1,25:04,25:04,1504,BOS,BOS
2022-11-02,@ BUF,0,0,0,-4,0,0,0,0,0,0,0,2,17:48,25,2022,202223,0,17:48,17:48,1068,BUF,BUF
2022-11-05,vs SEA,1,1,2,0,2,0,0,0,0,0,0,2,20:03,22,2022,202223,1,20:03,20:03,1203,SEA,SEA
2022-11-09,@ WSH,0,1,1,2,2,0,0,0,0,0,0,2,20:42,25,2022,202223,0,20:42,20:42,1242,WSH,WSH
2022-11-11,@ TOR,0,1,1,0,0,0,0,0,0,0,0,0,19:50,26,2022,202223,0,19:50,19:50,1190,TOR,TOR
2022-11-12,@ MTL,0,0,0,-2,2,0,0,0,0,0,0,1,21:25,22,2022,202223,0,21:25,21:25,1285,MTL,MTL
2022-11-15,vs TOR,1,0,1,-4,0,0,0,0,0,0,0,2,20:32,23,2022,202223,1,20:32,20:32,1232,TOR,TOR
