Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
42,2024-02-25,42,22-287,NJD,,TBL,L,0,1,1,-4,0,0,0,0,0,0,1,0,1,0.0,20,20:02,0,1,0,0,
43,2024-02-27,43,22-289,NJD,@,SJS,W,1,2,3,3,0,1,0,0,0,2,0,0,11,9.1,24,23:06,0,1,0,0,
44,2024-03-01,44,22-292,NJD,@,ANA,L,1,1,2,0,0,0,1,0,0,1,0,0,9,11.1,29,26:42,0,1,0,0,
45,2024-03-03,45,22-294,NJD,@,LAK,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,24,23:35,1,0,0,0,
46,2024-03-05,46,22-296,NJD,,FLA,L,1,1,2,-2,0,0,1,0,0,1,0,0,3,33.3,24,20:25,0,0,0,0,
47,2024-03-07,47,22-298,NJD,,STL,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,21,16:21,0,0,0,0,
48,2024-03-09,48,22-300,NJD,,CAR,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,27,22:48,0,0,0,0,
49,2024-03-11,49,22-302,NJD,@,NYR,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,25,23:47,0,0,0,0,
50,2024-03-14,50,22-305,NJD,@,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:53,0,0,0,0,
51,2024-03-16,51,22-307,NJD,@,ARI,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,24,21:30,0,0,0,0,
52,2024-03-17,52,22-308,NJD,@,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,21:31,0,0,0,0,
53,2024-03-19,53,22-310,NJD,,PIT,W,0,2,2,1,0,0,0,0,0,1,1,0,4,0.0,23,19:15,0,0,0,0,
54,2024-03-21,54,22-312,NJD,,WPG,W,2,0,2,0,0,0,2,0,0,0,0,0,10,20.0,19,20:36,0,0,0,0,
55,2024-03-23,55,22-314,NJD,,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,20:56,1,0,0,0,
56,2024-03-24,56,22-315,NJD,@,NYI,W,1,1,2,2,0,1,0,0,0,0,1,0,3,33.3,23,20:41,0,0,0,0,
57,2024-03-26,57,22-317,NJD,@,TOR,W,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,22,19:59,0,0,0,0,
58,2024-03-29,58,22-320,NJD,@,BUF,L,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,18,25:31,0,0,0,0,
59,2024-04-02,59,22-324,NJD,,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,23,21:39,0,0,0,0,
60,2024-04-03,60,22-325,NJD,@,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,26,24:47,0,1,0,0,
61,2024-04-06,61,22-328,NJD,@,OTT,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,28,20:29,0,1,0,0,
62,2024-04-07,62,22-329,NJD,,NSH,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,32,22:22,0,0,0,0,
1,2022-10-13,1,21-152,NJD,@,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,22:54,0,0,4,8,33.3
2,2022-10-15,2,21-154,NJD,,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,7,0.0,24,23:27,1,0,5,8,38.5
3,2022-10-18,3,21-157,NJD,,ANA,W,0,2,2,2,0,0,0,0,0,2,0,0,4,0.0,23,20:25,0,1,3,4,42.9
4,2022-10-20,4,21-159,NJD,@,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,23,19:29,0,0,2,4,33.3
5,2022-10-22,5,21-161,NJD,,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,24,21:03,0,0,3,5,37.5
6,2022-10-24,6,21-163,NJD,,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,22,17:30,0,0,1,4,20.0
7,2022-10-25,7,21-164,NJD,@,DET,W,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,21,16:03,0,0,1,1,50.0
8,2022-10-28,8,21-167,NJD,,COL,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,19,17:46,0,1,0,1,0.0
9,2022-10-30,9,21-169,NJD,,CBJ,W,0,2,2,2,0,0,0,0,0,2,0,0,4,0.0,20,17:56,0,1,2,1,66.7
10,2022-11-01,10,21-171,NJD,@,VAN,W,1,1,2,1,0,1,0,0,0,0,1,0,8,12.5,18,16:35,1,0,0,2,0.0
11,2022-11-03,11,21-173,NJD,@,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,19:15,0,0,1,6,14.3
12,2022-11-05,12,21-175,NJD,@,CGY,W,0,2,2,1,0,0,0,0,0,1,1,0,7,0.0,24,22:09,0,0,2,4,33.3
13,2022-11-08,13,21-178,NJD,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:03,0,0,3,4,42.9
14,2022-11-10,14,21-180,NJD,,OTT,W,0,2,2,0,2,0,0,0,0,1,1,0,4,0.0,24,21:10,0,0,2,1,66.7
15,2022-11-12,15,21-182,NJD,,ARI,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,24,19:22,0,0,5,5,50.0
16,2022-11-15,16,21-185,NJD,@,MTL,W,2,1,3,2,0,1,1,0,0,1,0,0,7,28.6,23,16:41,0,0,0,6,0.0
17,2022-11-17,17,21-187,NJD,@,TOR,W,0,1,1,2,0,0,0,0,0,1,0,0,6,0.0,22,18:25,0,0,0,4,0.0
18,2022-11-19,18,21-189,NJD,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,18:44,1,0,0,2,0.0
19,2022-11-21,19,21-191,NJD,,EDM,W,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,19,18:12,1,0,1,1,50.0
20,2022-11-23,20,21-193,NJD,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,21:20,0,0,2,3,40.0
21,2022-11-25,21,21-195,NJD,@,BUF,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,21,16:47,0,0,1,0,100.0
22,2022-11-26,22,21-196,NJD,,WSH,W,3,0,3,3,0,3,0,0,1,0,0,0,4,75.0,22,17:02,0,1,0,2,0.0
23,2022-11-28,23,21-198,NJD,@,NYR,W,1,0,1,0,0,1,0,0,0,0,0,0,8,12.5,19,17:52,0,0,1,0,100.0
24,2022-12-01,24,21-201,NJD,,NSH,L-OT,0,2,2,0,0,0,0,0,0,1,1,0,1,0.0,21,18:20,0,1,0,1,0.0
25,2022-12-03,25,21-203,NJD,@,PHI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,23,19:41,0,0,1,2,33.3
26,2022-12-06,26,21-206,NJD,,CHI,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,20,17:33,0,0,0,0,
27,2022-12-09,27,21-209,NJD,,NYI,L,1,1,2,-1,0,1,0,0,0,1,0,0,2,50.0,25,26:13,0,2,1,5,16.7
28,2022-12-12,28,21-212,NJD,@,NYR,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,25,22:01,0,0,1,1,50.0
29,2022-12-13,29,21-213,NJD,,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,20:21,0,0,1,3,25.0
30,2022-12-15,30,21-215,NJD,,PHI,L,1,0,1,0,0,0,1,0,0,0,0,0,8,12.5,19,20:00,0,0,1,5,16.7
31,2022-12-17,31,21-217,NJD,,FLA,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,20,25:29,0,1,0,1,0.0
32,2022-12-20,32,21-220,NJD,@,CAR,L,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,21,21:43,0,0,0,0,
33,2022-12-21,33,21-221,NJD,@,FLA,W,0,1,1,1,0,0,0,0,0,0,1,0,4,0.0,26,24:06,0,0,1,3,25.0
34,2022-12-23,34,21-223,NJD,,BOS,L,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,25,19:17,0,0,2,1,66.7
35,2022-12-28,35,21-228,NJD,,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,26,21:12,0,0,0,1,0.0
36,2022-12-30,36,21-230,NJD,@,PIT,W,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,23,20:22,1,0,3,1,75.0
37,2023-01-01,37,21-232,NJD,,CAR,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,28,22:22,0,0,0,3,0.0
38,2023-01-04,38,21-235,NJD,@,DET,W,1,1,2,1,0,1,0,0,0,0,1,0,6,16.7,21,18:51,0,0,0,0,
39,2023-01-05,39,21-236,NJD,,STL,L,2,0,2,0,0,2,0,0,0,0,0,0,9,22.2,23,23:50,0,0,0,0,
40,2023-01-07,40,21-238,NJD,,NYR,W,2,1,3,2,0,2,0,0,0,0,1,0,10,20.0,27,22:58,2,0,1,5,16.7
41,2023-01-10,41,21-241,NJD,@,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,19:08,0,0,0,1,0.0
42,2023-01-13,42,21-244,NJD,@,ANA,W,2,1,3,1,0,1,1,0,1,1,0,0,3,66.7,20,14:45,0,0,1,1,50.0
43,2023-01-14,43,21-245,NJD,@,LAK,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,22,19:20,1,0,3,7,30.0
44,2023-01-16,44,21-247,NJD,@,SJS,W,1,0,1,0,2,1,0,0,0,0,0,0,7,14.3,29,25:47,1,1,2,4,33.3
45,2023-01-19,45,21-250,NJD,@,SEA,L-OT,0,1,1,-2,0,0,0,0,0,1,0,0,5,0.0,24,22:13,1,1,3,3,50.0
46,2023-01-22,46,21-253,NJD,,PIT,W,1,1,2,0,0,1,0,0,0,0,1,0,3,33.3,26,21:43,0,0,2,4,33.3
47,2023-01-24,47,21-255,NJD,,VEG,W,0,2,2,0,0,0,0,0,0,1,1,0,4,0.0,24,22:14,0,0,2,2,50.0
48,2023-01-26,48,21-257,NJD,@,NSH,L,1,1,2,0,0,1,0,0,0,1,0,0,5,20.0,24,20:26,1,1,8,8,50.0
