Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
44,2024-01-26,44,25-088,COL,,LAK,W,1,0,1,1,0,0,1,0,0,0,0,0,9,11.1,22,25:25,1,1,0,0,
45,2024-02-05,45,25-098,COL,@,NYR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,23,25:28,0,1,0,0,
46,2024-02-06,46,25-099,COL,@,NJD,L,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,28,27:17,1,3,0,0,
47,2024-02-08,47,25-101,COL,@,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,25:56,0,3,0,0,
48,2024-02-10,48,25-103,COL,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,22:35,1,1,0,0,
49,2024-02-13,49,25-106,COL,@,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,27,26:22,0,3,0,0,
50,2024-02-15,50,25-108,COL,@,TBL,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,22,27:32,2,2,0,0,
51,2024-02-18,51,25-111,COL,,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,29,27:09,1,2,0,0,
52,2024-02-20,52,25-113,COL,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,25:42,0,1,0,0,
53,2024-02-22,53,25-115,COL,@,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,27:05,0,3,0,0,
54,2024-02-24,54,25-117,COL,,TOR,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,26,23:23,0,3,0,0,
55,2024-02-27,55,25-120,COL,,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,26,23:59,1,3,0,0,
56,2024-02-29,56,25-122,COL,@,CHI,W,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,23,22:20,0,0,0,0,
57,2024-03-02,57,25-124,COL,@,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,23:26,0,2,0,0,
58,2024-03-04,58,25-126,COL,,CHI,W,1,1,2,2,2,1,0,0,0,1,0,0,5,20.0,24,22:05,1,1,0,0,
59,2024-03-06,59,25-128,COL,,DET,W,3,1,4,3,0,2,1,0,0,0,1,0,5,60.0,24,23:50,0,0,0,0,
60,2024-03-08,60,25-130,COL,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,24:11,1,5,0,0,
61,2024-03-12,61,25-134,COL,@,CGY,W,0,1,1,4,0,0,0,0,0,1,0,0,2,0.0,22,23:42,0,0,0,0,
62,2024-03-13,62,25-135,COL,@,VAN,W,0,2,2,-2,0,0,0,0,0,0,2,0,1,0.0,30,27:18,1,0,0,0,
63,2024-03-16,63,25-138,COL,@,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,31,27:31,1,2,0,0,
64,2024-03-19,64,25-141,COL,@,STL,W,0,1,1,-2,0,0,0,0,0,1,0,0,3,0.0,23,21:29,0,1,0,0,
65,2024-03-22,65,25-144,COL,,CBJ,W,1,1,2,3,0,1,0,0,0,1,0,0,5,20.0,24,21:39,1,2,0,0,
66,2024-03-24,66,25-146,COL,,PIT,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,28,25:10,0,1,0,0,
67,2024-03-26,67,25-148,COL,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,26:41,0,1,0,0,
68,2024-03-28,68,25-150,COL,,NYR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,27,26:42,1,1,0,0,
69,2024-03-30,69,25-152,COL,,NSH,W,1,2,3,-2,0,0,1,0,0,0,2,0,4,25.0,21,21:42,0,5,0,0,
70,2024-04-01,70,25-154,COL,@,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,23,25:40,0,4,0,0,
71,2024-04-04,71,25-157,COL,@,MIN,W,0,1,1,2,0,0,0,0,0,0,1,0,4,0.0,23,23:20,0,1,0,0,
72,2024-04-05,72,25-158,COL,@,EDM,L,0,1,1,-2,0,0,0,0,0,1,0,0,0,,23,21:32,0,1,0,0,
73,2024-04-07,73,25-160,COL,,DAL,L,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,25,26:09,0,2,0,0,
74,2024-04-09,74,25-162,COL,,MIN,W,1,2,3,2,0,1,0,0,1,1,1,0,5,20.0,23,22:13,1,2,0,0,
