,Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
239,22-Jan,vs DET,0,1,1,-1,0,0,0,0,0,0,0,3,26:11:00,27,2019,1819,1,0:26:11,0:26:11,1571,DET,OTHER
240,20-Jan,vs CAR,0,2,2,-3,0,0,1,0,0,0,0,2,19:19,26,2019,1819,1,0:19:19,0:19:19,1159,CAR,OTHER
241,19-Jan,vs CGY,0,0,0,-1,0,0,0,0,0,0,0,3,23:00,25,2019,1819,1,0:23:00,0:23:00,1380,CGY,CGY
242,16-Jan,@ VAN,1,0,1,0,2,1,1,0,0,0,0,3,26:55:00,31,2019,1819,0,0:26:55,0:26:55,1615,VAN,VAN
243,14-Jan,vs BUF,1,1,2,0,0,0,1,0,0,0,0,3,17:03,23,2019,1819,1,0:17:03,0:17:03,1023,BUF,OTHER
244,12-Jan,vs ARI,1,0,1,0,0,0,0,0,0,0,0,1,24:23:00,25,2019,1819,1,0:24:23,0:24:23,1463,ARI,OTHER
245,10-Jan,vs FLA,2,1,3,2,0,0,0,0,0,0,0,3,27:34:00,31,2019,1819,1,0:27:34,0:27:34,1654,FLA,OTHER
246,08-Jan,@ SJS,0,1,1,-3,0,0,1,0,0,0,0,2,21:24,24,2019,1819,0,0:21:24,0:21:24,1284,SJS,OTHER
247,06-Jan,@ ANA,1,0,1,1,0,0,0,0,0,1,0,6,21:54,26,2019,1819,0,0:21:54,0:21:54,1314,ANA,OTHER
248,05-Jan,@ LAK,0,0,0,-1,0,0,0,0,0,0,0,4,23:11,23,2019,1819,0,0:23:11,0:23:11,1391,LAK,OTHER
249,02-Jan,@ ARI,2,1,3,2,0,0,0,0,0,1,0,3,23:32,28,2019,1819,0,0:23:32,0:23:32,1412,ARI,OTHER
250,31-Dec,vs WPG,0,2,2,1,0,0,0,0,0,0,0,1,22:09,30,2018,1819,1,0:22:09,0:22:09,1329,WPG,WPG
251,29-Dec,vs SJS,2,0,2,1,0,0,0,0,0,0,0,5,19:54,26,2018,1819,1,0:19:54,0:19:54,1194,SJS,OTHER
252,27-Dec,vs VAN,0,2,2,-1,2,0,2,0,0,0,0,1,27:46:00,28,2018,1819,1,0:27:46,0:27:46,1666,VAN,VAN
253,22-Dec,vs TBL,0,3,3,-3,0,0,2,0,0,0,0,5,23:27,26,2018,1819,1,0:23:27,0:23:27,1407,TBL,OTHER
254,18-Dec,vs STL,0,0,0,-1,0,0,0,0,0,0,0,1,23:42,25,2018,1819,1,0:23:42,0:23:42,1422,STL,OTHER
255,16-Dec,@ VAN,0,1,1,0,0,0,0,0,0,0,0,1,23:38,28,2018,1819,0,0:23:38,0:23:38,1418,VAN,VAN
256,14-Dec,vs PHI,2,1,3,2,0,0,0,0,0,1,0,2,19:16,22,2018,1819,1,0:19:16,0:19:16,1156,PHI,OTHER
257,13-Dec,@ WPG,0,2,2,-1,4,0,1,0,0,0,0,1,22:52,30,2018,1819,0,0:22:52,0:22:52,1372,WPG,WPG
258,11-Dec,@ COL,1,1,2,0,0,0,1,0,0,0,0,5,22:17,23,2018,1819,0,0:22:17,0:22:17,1337,COL,OTHER
259,09-Dec,vs CGY,1,0,1,1,0,0,0,0,0,1,0,5,21:43,21,2018,1819,1,0:21:43,0:21:43,1303,CGY,CGY
260,07-Dec,vs MIN,1,3,4,4,0,0,0,0,0,1,0,3,21:03,23,2018,1819,1,0:21:03,0:21:03,1263,MIN,OTHER
261,05-Dec,@ STL,0,1,1,0,0,0,0,0,0,0,0,4,28:01:00,28,2018,1819,0,0:28:01,0:28:01,1681,STL,OTHER
262,01-Dec,vs VGK,1,0,1,0,0,0,0,0,0,0,0,8,23:25,24,2018,1819,1,0:23:25,0:23:25,1405,VGK,OTHER
263,29-Nov,vs LAK,0,1,1,0,0,0,1,0,0,0,0,4,24:35:00,25,2018,1819,1,0:24:35,0:24:35,1475,LAK,OTHER
264,27-Nov,vs DAL,0,0,0,1,0,0,0,0,0,0,0,4,24:05:00,27,2018,1819,1,0:24:05,0:24:05,1445,DAL,OTHER
265,25-Nov,@ LAK,0,1,1,-2,2,0,1,0,0,0,0,4,24:27:00,28,2018,1819,0,0:24:27,0:24:27,1467,LAK,OTHER
266,23-Nov,@ ANA,0,1,1,-1,0,0,1,0,0,0,0,2,23:25,29,2018,1819,0,0:23:25,0:23:25,1405,ANA,OTHER
267,20-Nov,@ SJS,1,2,3,2,0,0,0,0,0,0,0,3,23:57,30,2018,1819,0,0:23:57,0:23:57,1437,SJS,OTHER
268,18-Nov,vs VGK,1,0,1,0,2,0,0,0,0,0,0,6,19:20,22,2018,1819,1,0:19:20,0:19:20,1160,VGK,OTHER
269,17-Nov,@ CGY,1,0,1,-1,2,1,1,0,0,0,0,2,21:29,27,2018,1819,0,0:21:29,0:21:29,1289,CGY,CGY
270,13-Nov,vs MTL,0,3,3,2,0,0,0,0,0,0,0,3,20:27,24,2018,1819,1,0:20:27,0:20:27,1227,MTL,MTL
271,11-Nov,vs COL,0,0,0,-1,0,0,0,0,0,0,0,2,20:28,18,2018,1819,1,0:20:28,0:20:28,1228,COL,OTHER
272,08-Nov,@ FLA,0,1,1,-1,0,0,0,0,0,0,0,2,24:54:00,26,2018,1819,0,0:24:54,0:24:54,1494,FLA,OTHER
273,06-Nov,@ TBL,0,0,0,-2,2,0,0,0,0,0,0,5,18:22,23,2018,1819,0,0:18:22,0:18:22,1102,TBL,OTHER
274,05-Nov,@ WSH,1,0,1,0,0,1,1,0,0,0,0,2,22:54,25,2018,1819,0,0:22:54,0:22:54,1374,WSH,OTHER
275,03-Nov,@ DET,0,2,2,1,0,0,0,0,0,0,0,2,18:12,20,2018,1819,0,0:18:12,0:18:12,1092,DET,OTHER
276,01-Nov,vs CHI,0,1,1,1,0,0,0,0,0,0,0,3,18:34,18,2018,1819,1,0:18:34,0:18:34,1114,CHI,OTHER
277,30-Oct,vs MIN,1,0,1,2,0,0,0,0,0,0,0,5,22:16,25,2018,1819,1,0:22:16,0:22:16,1336,MIN,OTHER
278,28-Oct,@ CHI,1,0,1,1,0,0,0,0,0,1,1,4,22:51,22,2018,1819,0,0:22:51,0:22:51,1371,CHI,OTHER
279,27-Oct,@ NSH,1,1,2,0,0,0,1,0,0,0,0,4,21:10,22,2018,1819,0,0:21:10,0:21:10,1270,NSH,OTHER
280,25-Oct,vs WSH,1,0,1,0,0,0,0,0,0,0,0,5,21:15,25,2018,1819,1,0:21:15,0:21:15,1275,WSH,OTHER
281,23-Oct,vs PIT,1,1,2,-1,0,1,2,0,0,0,0,8,28:26:00,30,2018,1819,1,0:28:26,0:28:26,1706,PIT,OTHER
282,20-Oct,vs NSH,0,0,0,-2,0,0,0,0,0,0,0,2,24:20:00,21,2018,1819,1,0:24:20,0:24:20,1460,NSH,OTHER
283,18-Oct,vs BOS,0,2,2,1,0,0,1,0,0,0,0,2,24:58:00,25,2018,1819,1,0:24:58,0:24:58,1498,BOS,OTHER
284,16-Oct,@ WPG,2,2,4,2,0,2,2,0,0,0,0,3,22:12,26,2018,1819,0,0:22:12,0:22:12,1332,WPG,WPG
285,13-Oct,@ NYR,1,1,2,0,0,1,1,0,0,1,0,2,24:35:00,24,2018,1819,0,0:24:35,0:24:35,1475,NYR,OTHER
286,11-Oct,@ BOS,1,0,1,0,0,0,0,0,0,0,0,4,23:55,22,2018,1819,0,0:23:55,0:23:55,1435,BOS,OTHER
287,06-Oct,@ NJD,0,2,2,0,0,0,1,0,0,0,0,2,23:34,25,2018,1819,0,0:23:34,0:23:34,1414,NJD,OTHER
288,11-Mar,vs WPG,1,0,1,-1,0,0,0,0,0,0,0,4,23:35,21,2020,1920,1,0:23:35,0:23:35,1415,WPG,WPG
289,07-Mar,vs CBJ,1,0,1,1,0,0,0,0,0,0,0,3,17:12,18,2020,1920,1,0:17:12,0:17:12,1032,CBJ,OTHER
290,05-Mar,@ CHI,0,0,0,-2,0,0,0,0,0,0,0,3,21:21,20,2020,1920,0,0:21:21,0:21:21,1281,CHI,OTHER
291,03-Mar,@ DAL,0,1,1,0,0,0,1,0,0,0,0,4,22:03,19,2020,1920,0,0:22:03,0:22:03,1323,DAL,OTHER
292,02-Mar,@ NSH,1,4,5,3,0,0,1,0,0,1,0,1,18:00,19,2020,1920,0,0:18:00,0:18:00,1080,NSH,OTHER
293,29-Feb,vs WPG,0,2,2,0,0,0,2,0,0,0,0,4,18:19,19,2020,1920,1,0:18:19,0:18:19,1099,WPG,WPG
294,26-Feb,@ VGK,0,0,0,-2,0,0,0,0,0,0,0,5,21:53,19,2020,1920,0,0:21:53,0:21:53,1313,VGK,OTHER
295,25-Feb,@ ANA,0,3,3,2,2,0,1,0,0,0,0,2,23:49,23,2020,1920,0,0:23:49,0:23:49,1429,ANA,OTHER
296,23-Feb,@ LAK,1,2,3,1,0,0,1,0,0,1,0,6,19:22,23,2020,1920,0,0:19:22,0:19:22,1162,LAK,OTHER
297,08-Feb,vs NSH,0,1,1,-2,4,0,1,0,0,0,0,3,19:27,20,2020,1920,1,0:19:27,0:19:27,1167,NSH,OTHER
298,06-Feb,vs SJS,1,0,1,-1,0,0,0,0,0,0,0,5,20:34,20,2020,1920,1,0:20:34,0:20:34,1234,SJS,OTHER
299,04-Feb,@ ARI,0,0,0,-3,0,0,0,0,0,0,0,3,22:34,18,2020,1920,0,0:22:34,0:22:34,1354,ARI,OTHER
300,01-Feb,@ CGY,2,0,2,0,0,1,1,0,0,1,0,4,20:15,21,2020,1920,0,0:20:15,0:20:15,1215,CGY,CGY
301,31-Jan,vs STL,0,0,0,0,0,0,0,0,0,0,0,2,20:18,22,2020,1920,1,0:20:18,0:20:18,1218,STL,OTHER
302,29-Jan,vs CGY,0,1,1,0,0,0,1,0,0,0,0,5,27:45:00,26,2020,1920,1,0:27:45,0:27:45,1665,CGY,CGY
303,18-Jan,vs ARI,2,0,2,2,2,1,1,0,0,1,0,4,19:13,19,2020,1920,1,0:19:13,0:19:13,1153,ARI,OTHER
304,14-Jan,vs NSH,0,3,3,-1,0,0,2,0,0,0,0,4,22:06,21,2020,1920,1,0:22:06,0:22:06,1326,NSH,OTHER
305,11-Jan,@ CGY,1,0,1,0,0,0,0,0,0,0,0,3,23:13,23,2020,1920,0,0:23:13,0:23:13,1393,CGY,CGY
306,09-Jan,@ MTL,0,1,1,-1,0,0,1,0,0,0,0,1,19:07,21,2020,1920,0,0:19:07,0:19:07,1147,MTL,MTL
307,06-Jan,@ TOR,1,3,4,3,0,0,1,0,0,0,0,8,24:49:00,22,2020,1920,0,0:24:49,0:24:49,1489,TOR,OTHER
308,04-Jan,@ BOS,1,0,1,1,0,0,0,0,0,0,0,4,19:56,19,2020,1920,0,0:19:56,0:19:56,1196,BOS,OTHER
309,02-Jan,@ BUF,0,0,0,0,0,0,0,0,0,0,0,4,20:52,21,2020,1920,0,0:20:52,0:20:52,1252,BUF,OTHER
310,31-Dec,vs NYR,0,1,1,1,0,0,1,0,0,0,0,2,22:13,18,2019,1920,1,0:22:13,0:22:13,1333,NYR,OTHER
311,27-Dec,vs CGY,1,0,1,-2,0,0,0,0,0,0,0,3,18:52,21,2019,1920,1,0:18:52,0:18:52,1132,CGY,CGY
312,23-Dec,@ VAN,0,1,1,-3,0,0,1,0,0,0,0,2,20:55,21,2019,1920,0,0:20:55,0:20:55,1255,VAN,VAN
313,21-Dec,vs MTL,1,1,2,-1,0,1,1,0,0,0,0,5,23:43,22,2019,1920,1,0:23:43,0:23:43,1423,MTL,MTL
314,20-Dec,vs PIT,0,0,0,-1,0,0,0,0,0,0,0,3,23:02,21,2019,1920,1,0:23:02,0:23:02,1382,PIT,OTHER
315,18-Dec,@ STL,0,0,0,0,2,0,0,0,0,0,0,3,22:19,24,2019,1920,0,0:22:19,0:22:19,1339,STL,OTHER
316,16-Dec,@ DAL,0,2,2,0,0,0,1,0,0,0,0,3,19:04,20,2019,1920,0,0:19:04,0:19:04,1144,DAL,OTHER
317,14-Dec,vs TOR,0,0,0,-2,0,0,0,0,0,0,0,1,22:22,23,2019,1920,1,0:22:22,0:22:22,1342,TOR,OTHER
318,12-Dec,@ MIN,1,1,2,-1,0,0,1,0,0,0,0,1,20:28,22,2019,1920,0,0:20:28,0:20:28,1228,MIN,OTHER
319,10-Dec,vs CAR,0,3,3,2,0,0,1,0,0,0,0,1,24:35:00,23,2019,1920,1,0:24:35,0:24:35,1475,CAR,OTHER
320,08-Dec,vs BUF,0,0,0,-2,2,0,0,0,0,0,0,4,25:23:00,23,2019,1920,1,0:25:23,0:25:23,1523,BUF,OTHER
321,06-Dec,vs LAK,0,1,1,0,0,0,1,0,0,0,0,2,21:27,21,2019,1920,1,0:21:27,0:21:27,1287,LAK,OTHER
322,04-Dec,vs OTT,0,0,0,-2,0,0,0,0,0,0,0,3,24:16:00,19,2019,1920,1,0:24:16,0:24:16,1456,OTT,OTHER
323,01-Dec,@ VAN,0,2,2,1,2,0,1,0,0,0,0,2,23:31,23,2019,1920,0,0:23:31,0:23:31,1411,VAN,VAN
324,30-Nov,vs VAN,1,1,2,0,0,0,0,0,0,0,0,2,22:08,20,2019,1920,1,0:22:08,0:22:08,1328,VAN,VAN
325,27-Nov,@ COL,0,0,0,-1,0,0,0,0,0,0,0,3,19:44,19,2019,1920,0,0:19:44,0:19:44,1184,COL,OTHER
326,24-Nov,@ ARI,0,1,1,-1,0,0,1,0,0,0,0,3,25:48:00,24,2019,1920,0,0:25:48,0:25:48,1548,ARI,OTHER
327,23-Nov,@ VGK,2,0,2,2,0,1,1,0,0,0,0,4,22:06,21,2019,1920,0,0:22:06,0:22:06,1326,VGK,OTHER
328,21-Nov,@ LAK,1,0,1,-2,0,0,0,0,0,0,0,4,20:59,19,2019,1920,0,0:20:59,0:20:59,1259,LAK,OTHER
329,19-Nov,@ SJS,1,2,3,1,2,0,1,0,0,0,0,3,20:55,20,2019,1920,0,0:20:55,0:20:55,1255,SJS,OTHER
330,16-Nov,vs DAL,0,3,3,-2,0,0,1,0,0,0,0,5,23:35,22,2019,1920,1,0:23:35,0:23:35,1415,DAL,OTHER
331,14-Nov,vs COL,3,3,6,1,0,3,4,0,0,0,0,6,17:55,21,2019,1920,1,0:17:55,0:17:55,1075,COL,OTHER
332,12-Nov,@ SJS,0,1,1,0,0,0,0,0,0,0,0,1,18:03,18,2019,1920,0,0:18:03,0:18:03,1083,SJS,OTHER
333,10-Nov,@ ANA,3,0,3,1,4,1,1,0,0,0,0,5,16:19,21,2019,1920,0,0:16:19,0:16:19,979,ANA,OTHER
334,08-Nov,vs NJD,0,1,1,0,0,0,1,0,0,0,0,3,19:17,18,2019,1920,1,0:19:17,0:19:17,1157,NJD,OTHER
335,06-Nov,vs STL,1,1,2,-2,0,1,1,0,0,0,0,7,21:42,22,2019,1920,1,0:21:42,0:21:42,1302,STL,OTHER
336,04-Nov,vs ARI,1,0,1,-1,2,0,0,0,0,0,0,4,23:06,23,2019,1920,1,0:23:06,0:23:06,1386,ARI,OTHER
337,02-Nov,@ PIT,0,0,0,-1,0,0,0,0,0,0,0,3,22:31,21,2019,1920,0,0:22:31,0:22:31,1351,PIT,OTHER
338,30-Oct,@ CBJ,0,1,1,2,0,0,1,0,0,0,0,3,23:25,23,2019,1920,0,0:23:25,0:23:25,1405,CBJ,OTHER
339,29-Oct,@ DET,0,1,1,0,0,0,0,0,0,0,0,3,26:09:00,21,2019,1920,0,0:26:09,0:26:09,1569,DET,OTHER
340,27-Oct,vs FLA,0,1,1,-1,0,0,0,0,0,0,0,4,23:10,20,2019,1920,1,0:23:10,0:23:10,1390,FLA,OTHER
341,24-Oct,vs WSH,1,2,3,4,0,0,0,0,0,0,0,4,27:27:00,22,2019,1920,1,0:27:27,0:27:27,1647,WSH,OTHER
342,22-Oct,@ MIN,0,0,0,-1,0,0,0,0,0,0,0,2,21:23,20,2019,1920,0,0:21:23,0:21:23,1283,MIN,OTHER
343,20-Oct,@ WPG,0,0,0,0,2,0,0,0,0,0,0,4,24:55:00,22,2019,1920,0,0:24:55,0:24:55,1495,WPG,WPG
344,18-Oct,vs DET,0,0,0,1,0,0,0,0,0,0,0,4,23:27,20,2019,1920,1,0:23:27,0:23:27,1407,DET,OTHER
345,16-Oct,vs PHI,1,4,5,3,0,0,2,0,0,0,0,1,18:28,22,2019,1920,1,0:18:28,0:18:28,1108,PHI,OTHER
346,14-Oct,@ CHI,0,0,0,-2,0,0,0,0,0,0,0,2,26:21:00,24,2019,1920,0,0:26:21,0:26:21,1581,CHI,OTHER
347,12-Oct,@ NYR,1,1,2,2,2,1,1,0,0,1,0,3,20:55,22,2019,1920,0,0:20:55,0:20:55,1255,NYR,OTHER
348,10-Oct,@ NJD,1,1,2,0,0,1,2,0,0,0,0,3,25:31:00,27,2019,1920,0,0:25:31,0:25:31,1531,NJD,OTHER
349,08-Oct,@ NYI,0,3,3,0,0,0,2,0,0,0,0,4,20:25,19,2019,1920,0,0:20:25,0:20:25,1225,NYI,OTHER
350,05-Oct,vs LAK,1,3,4,0,2,0,2,0,0,0,0,3,24:07:00,25,2019,1920,1,0:24:07,0:24:07,1447,LAK,OTHER
351,02-Oct,vs VAN,1,0,1,1,0,0,0,0,0,1,0,2,21:40,22,2019,1920,1,0:21:40,0:21:40,1300,VAN,VAN
352,21-Apr,vs MTL,1,2,3,0,2,0,1,0,0,0,0,3,27:10:00,25,2021,2021,1,0:27:10,0:27:10,1630,MTL,MTL
353,19-Apr,vs MTL,1,2,3,3,0,0,0,0,0,1,0,4,27:00:00,24,2021,2021,1,0:27:00,0:27:00,1620,MTL,MTL
354,17-Apr,@ WPG,0,2,2,1,0,0,1,0,0,0,0,1,24:38:00,22,2021,2021,0,0:24:38,0:24:38,1478,WPG,WPG
355,10-Apr,@ CGY,0,0,0,-2,0,0,0,0,0,0,0,1,20:56,17,2021,2021,0,0:20:56,0:20:56,1256,CGY,CGY
356,08-Apr,@ OTT,0,1,1,1,0,0,1,0,0,0,0,4,23:56,20,2021,2021,0,0:23:56,0:23:56,1436,OTT,OTHER
357,07-Apr,@ OTT,1,3,4,2,0,0,1,0,0,1,0,5,23:41,20,2021,2021,0,0:23:41,0:23:41,1421,OTT,OTHER
358,05-Apr,@ MTL,0,0,0,-2,0,0,0,0,0,0,0,1,28:38:00,26,2021,2021,0,0:28:38,0:28:38,1718,MTL,MTL
359,02-Apr,vs CGY,1,0,1,-1,0,1,1,0,0,1,0,2,23:37,22,2021,2021,1,0:23:37,0:23:37,1417,CGY,CGY
360,30-Mar,@ MTL,0,0,0,-2,2,0,0,0,0,0,0,0,16:55,20,2021,2021,0,0:16:55,0:16:55,1015,MTL,MTL
361,29-Mar,@ TOR,0,1,1,0,0,0,0,0,0,0,0,2,23:06,26,2021,2021,0,0:23:06,0:23:06,1386,TOR,OTHER
362,27-Mar,@ TOR,0,2,2,1,0,0,0,0,0,0,0,1,23:05,24,2021,2021,0,0:23:05,0:23:05,1385,TOR,OTHER
363,20-Mar,vs WPG,1,1,2,3,0,0,0,0,0,0,0,5,21:44,21,2021,2021,1,0:21:44,0:21:44,1304,WPG,WPG
364,18-Mar,vs WPG,2,0,2,2,0,0,0,0,0,1,0,4,23:19,23,2021,2021,1,0:23:19,0:23:19,1399,WPG,WPG
365,17-Mar,@ CGY,1,2,3,1,0,1,1,0,0,1,0,5,17:08,18,2021,2021,0,0:17:08,0:17:08,1028,CGY,CGY
366,15-Mar,@ CGY,0,1,1,-1,0,0,0,0,0,0,0,3,25:52:00,23,2021,2021,0,0:25:52,0:25:52,1552,CGY,CGY
367,13-Mar,@ VAN,0,1,1,0,0,0,1,0,0,0,0,7,26:20:00,19,2021,2021,0,0:26:20,0:26:20,1580,VAN,VAN
368,12-Mar,vs OTT,1,2,3,1,0,0,1,0,0,0,0,2,23:26,18,2021,2021,1,0:23:26,0:23:26,1406,OTT,OTHER
369,10-Mar,vs OTT,1,2,3,2,0,0,1,0,0,0,0,4,19:07,17,2021,2021,1,0:19:07,0:19:07,1147,OTT,OTHER
370,08-Mar,vs OTT,0,2,2,2,0,0,1,0,0,0,0,5,25:21:00,23,2021,2021,1,0:25:21,0:25:21,1521,OTT,OTHER
371,06-Mar,vs CGY,1,2,3,3,0,0,0,0,0,1,0,5,24:46:00,23,2021,2021,1,0:24:46,0:24:46,1486,CGY,CGY
372,03-Mar,vs TOR,0,0,0,-1,0,0,0,0,0,0,0,1,17:55,23,2021,2021,1,0:17:55,0:17:55,1075,TOR,OTHER
373,01-Mar,vs TOR,0,0,0,0,2,0,0,0,0,0,0,6,20:59,20,2021,2021,1,0:20:59,0:20:59,1259,TOR,OTHER
374,27-Feb,vs TOR,0,0,0,-3,0,0,0,0,0,0,0,1,20:15,21,2021,2021,1,0:20:15,0:20:15,1215,TOR,OTHER
375,25-Feb,@ VAN,1,1,2,1,0,0,1,0,0,0,0,8,25:24:00,20,2021,2021,0,0:25:24,0:25:24,1524,VAN,VAN
376,23-Feb,@ VAN,1,0,1,-1,0,1,1,0,0,0,0,2,24:46:00,22,2021,2021,0,0:24:46,0:24:46,1486,VAN,VAN
377,20-Feb,vs CGY,3,2,5,3,0,1,2,0,0,0,0,3,17:33,19,2021,2021,1,0:17:33,0:17:33,1053,CGY,CGY
378,19-Feb,@ CGY,0,0,0,1,2,0,0,0,0,0,0,2,21:38,20,2021,2021,0,0:21:38,0:21:38,1298,CGY,CGY
379,17-Feb,vs WPG,0,2,2,1,0,0,1,0,0,0,0,5,24:31:00,21,2021,2021,1,0:24:31,0:24:31,1471,WPG,WPG
380,15-Feb,vs WPG,0,2,2,1,0,0,1,0,0,0,0,7,26:36:00,22,2021,2021,1,0:26:36,0:26:36,1596,WPG,WPG
381,11-Feb,@ MTL,0,1,1,1,0,0,1,0,0,0,0,7,18:45,20,2021,2021,0,0:18:45,0:18:45,1125,MTL,MTL
382,09-Feb,@ OTT,0,0,0,-1,0,0,0,0,0,0,0,3,22:58,19,2021,2021,0,0:22:58,0:22:58,1378,OTT,OTHER
383,08-Feb,@ OTT,0,1,1,0,0,0,0,0,0,0,0,3,21:48,23,2021,2021,0,0:21:48,0:21:48,1308,OTT,OTHER
384,06-Feb,@ CGY,1,1,2,-1,2,1,1,0,0,0,0,4,28:16:00,22,2021,2021,0,0:28:16,0:28:16,1696,CGY,CGY
385,02-Feb,vs OTT,0,2,2,1,2,0,0,0,0,0,0,1,19:59,21,2021,2021,1,0:19:59,0:19:59,1199,OTT,OTHER
386,31-Jan,vs OTT,1,4,5,-1,0,1,4,0,0,1,0,5,17:12,19,2021,2021,1,0:17:12,0:17:12,1032,OTT,OTHER
387,30-Jan,vs TOR,2,1,3,1,0,1,1,0,0,1,1,3,23:54,26,2021,2021,1,0:23:54,0:23:54,1434,TOR,OTHER
388,28-Jan,vs TOR,0,2,2,-1,0,0,2,0,0,0,0,0,25:42:00,22,2021,2021,1,0:25:42,0:25:42,1542,TOR,OTHER
389,26-Jan,@ WPG,1,1,2,-1,0,0,1,0,0,0,0,2,18:38,25,2021,2021,0,0:18:38,0:18:38,1118,WPG,WPG
390,24-Jan,@ WPG,0,3,3,3,0,0,0,0,0,0,0,5,23:23,24,2021,2021,0,0:23:23,0:23:23,1403,WPG,WPG
391,22-Jan,@ TOR,1,0,1,0,0,0,0,0,0,0,0,7,23:28,21,2021,2021,0,0:23:28,0:23:28,1408,TOR,OTHER
392,20-Jan,@ TOR,0,1,1,0,2,0,0,0,0,0,0,4,22:38,23,2021,2021,0,0:22:38,0:22:38,1358,TOR,OTHER
393,18-Jan,vs MTL,0,0,0,-1,2,0,0,0,0,0,0,1,21:52,21,2021,2021,1,0:21:52,0:21:52,1312,MTL,MTL
394,16-Jan,vs MTL,0,1,1,-1,0,0,0,0,0,0,0,2,19:13,19,2021,2021,1,0:19:13,0:19:13,1153,MTL,MTL
395,14-Jan,vs VAN,3,1,4,2,2,1,2,0,0,1,0,9,21:37,20,2021,2021,1,0:21:37,0:21:37,1297,VAN,VAN
396,13-Jan,vs VAN,0,0,0,-1,0,0,0,0,0,0,0,5,26:24:00,25,2021,2021,1,0:26:24,0:26:24,1584,VAN,VAN
397,26-Apr,@ WPG,3,1,4,4,0,0,0,0,0,1,0,7,16:03,17,2021,2021,0,0:16:03,0:16:03,963,WPG,WPG
398,28-Apr,@ WPG,0,3,3,0,0,0,2,0,0,0,0,5,23:16,22,2021,2021,0,0:23:16,0:23:16,1396,WPG,WPG
399,01-May,vs CGY,1,2,3,3,0,1,1,0,0,0,0,3,22:00,23,2021,2021,1,0:22:00,0:22:00,1320,CGY,CGY
400,03-May,@ VAN,2,2,4,4,0,0,0,0,0,0,0,2,18:40,20,2021,2021,0,0:18:40,0:18:40,1120,VAN,VAN
401,04-May,@ VAN,0,2,2,0,0,0,1,0,0,0,0,2,19:04,16,2021,2021,0,0:19:04,0:19:04,1144,VAN,VAN
402,06-May,vs VAN,0,3,3,-1,0,0,1,0,0,0,0,6,20:01,20,2021,2021,1,0:20:01,0:20:01,1201,VAN,VAN
403,10-May,@ MTL,1,1,2,-1,0,0,0,0,0,1,1,3,19:07,22,2021,2021,0,0:19:07,0:19:07,1147,MTL,MTL
404,12-May,@ MTL,0,2,2,-2,0,0,2,0,0,0,0,2,15:12,16,2021,2021,0,0:15:12,0:15:12,912,MTL,MTL
405,08-May,vs VAN,1,3,4,1,2,0,2,0,0,0,0,4,22:15,19,2021,2021,1,0:22:15,0:22:15,1335,VAN,VAN
406,29-Apr,vs CGY,0,0,0,-1,0,0,0,0,0,0,0,3,23:37,23,2021,2021,1,0:23:37,0:23:37,1417,CGY,CGY
407,15-May,vs VAN,0,1,1,-2,0,0,0,0,0,0,0,3,16:12,15,2021,2021,1,0:16:12,0:16:12,972,VAN,VAN
408,1666396800,@ VGK,0,2,2,0,0,0,1,0,0,0,0,7,-2209001820,22,2022,2022,0,00:-2209,NA,NA,VGK,OTHER
409,1666310400,@ ARI,2,1,3,0,0,1,2,0,0,0,0,2,-2209019460,17,2022,2022,0,00:-2209,NA,NA,ARI,OTHER
410,1666137600,vs ANA,1,2,3,1,0,0,1,0,0,0,0,2,-2208982680,20,2022,2022,1,00:-2208,NA,NA,ANA,OTHER
411,1665878400,vs CGY,3,0,3,2,2,2,2,0,0,1,0,8,-2208994140,23,2022,2022,1,00:-2208,NA,NA,CGY,CGY
412,1665619200,vs VAN,0,2,2,0,0,0,1,0,0,0,0,2,-2208987720,24,2022,2022,1,00:-2208,NA,NA,VAN,VAN
413,1666828800,vs PHI,1,1,2,-1,0,1,1,0,0,0,0,9,-2208983040,21,2022,2022,1,00:-2208,NA,NA,PHI,OTHER
414,1667088000,@ VAN,0,1,1,-1,0,0,1,0,0,0,0,9,-2208995340,19,2022,2022,0,00:-2208,NA,NA,VAN,VAN
415,1667260800,vs SEA,0,1,1,1,0,0,0,0,0,0,0,4,-2208998040,17,2022,2022,1,00:-2208,NA,NA,SEA,OTHER
416,1667433600,vs NSH,0,2,2,2,0,0,1,0,0,0,0,1,-2209005780,18,2022,2022,1,00:-2209,NA,NA,NSH,OTHER
417,1667606400,vs NYR,1,2,3,1,0,0,1,0,0,0,0,2,-2208983640,26,2022,2022,1,00:-2208,NA,NA,NYR,OTHER
418,1667952000,@ DET,1,0,1,-1,0,0,0,0,0,0,0,2,-2208984720,22,2022,2022,0,00:-2208,NA,NA,DET,OTHER
419,1668124800,@ BOS,0,1,1,0,0,0,0,0,0,0,0,4,-2208999960,21,2022,2022,0,00:-2208,NA,NA,BOS,OTHER
420,1668211200,@ BUF,0,1,1,-2,0,0,1,0,0,0,0,4,-2208990840,21,2022,2022,0,00:-2208,NA,NA,BUF,OTHER
