,Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
106,25-Nov,@ ARI,1,0,1,0,0,0,0,0,0,0,0,4,22:43,26,2016,1617,0,0:22:43,0:22:43,1363,ARI,OTHER
107,23-Nov,@ COL,1,2,3,1,0,0,1,0,0,1,0,3,19:31,27,2016,1617,0,0:19:31,0:19:31,1171,COL,OTHER
108,21-Nov,vs CHI,0,2,2,1,0,0,1,0,0,0,0,2,18:42,22,2016,1617,1,0:18:42,0:18:42,1122,CHI,OTHER
109,19-Nov,@ DAL,3,0,3,3,2,0,0,0,0,0,0,4,18:39,28,2016,1617,0,0:18:39,0:18:39,1119,DAL,OTHER
110,17-Nov,@ LAK,0,0,0,-3,0,0,0,0,0,0,0,3,21:34,26,2016,1617,0,0:21:34,0:21:34,1294,LAK,OTHER
111,15-Nov,@ ANA,0,0,0,-1,0,0,0,0,0,0,0,4,22:29,21,2016,1617,0,0:22:29,0:22:29,1349,ANA,OTHER
112,13-Nov,vs NYR,0,1,1,1,0,0,0,0,0,0,0,1,22:49,25,2016,1617,1,0:22:49,0:22:49,1369,NYR,OTHER
113,11-Nov,vs DAL,0,1,1,-1,0,0,0,0,0,0,0,4,22:26,24,2016,1617,1,0:22:26,0:22:26,1346,DAL,OTHER
114,08-Nov,@ PIT,0,3,3,3,0,0,0,0,0,0,0,2,18:53,23,2016,1617,0,0:18:53,0:18:53,1133,PIT,OTHER
115,06-Nov,@ DET,0,1,1,0,0,0,1,0,0,0,0,0,18:36,22,2016,1617,0,0:18:36,0:18:36,1116,DET,OTHER
116,05-Nov,@ NYI,0,0,0,-1,0,0,0,0,0,0,0,6,23:26,26,2016,1617,0,0:23:26,0:23:26,1406,NYI,OTHER
117,03-Nov,@ NYR,0,1,1,-3,0,0,1,0,0,0,0,3,19:37,23,2016,1617,0,0:19:37,0:19:37,1177,NYR,OTHER
118,01-Nov,@ TOR,0,0,0,-2,0,0,0,0,0,0,0,4,22:46,32,2016,1617,0,0:22:46,0:22:46,1366,TOR,OTHER
119,30-Oct,vs OTT,0,0,0,-1,0,0,0,0,0,0,0,2,22:20,23,2016,1617,1,0:22:20,0:22:20,1340,OTT,OTHER
120,28-Oct,@ VAN,1,0,1,2,0,0,0,0,0,1,0,3,21:41,27,2016,1617,0,0:21:41,0:21:41,1301,VAN,VAN
121,26-Oct,vs WSH,0,2,2,1,0,0,1,0,0,0,0,1,21:20,27,2016,1617,1,0:21:20,0:21:20,1280,WSH,OTHER
122,23-Oct,@ WPG,0,1,1,1,2,0,0,0,0,0,0,1,19:53,23,2016,1617,0,0:19:53,0:19:53,1193,WPG,WPG
123,20-Oct,vs STL,1,1,2,2,0,0,0,0,0,0,0,4,22:22,25,2016,1617,1,0:22:22,0:22:22,1342,STL,OTHER
124,18-Oct,vs CAR,0,0,0,0,2,0,0,0,0,0,0,2,20:09,25,2016,1617,1,0:20:09,0:20:09,1209,CAR,OTHER
125,16-Oct,vs BUF,0,0,0,-1,0,0,0,0,0,0,0,1,18:43,24,2016,1617,1,0:18:43,0:18:43,1123,BUF,OTHER
126,14-Oct,@ CGY,1,2,3,2,2,0,2,0,0,0,0,2,22:09,29,2016,1617,0,0:22:09,0:22:09,1329,CGY,CGY
127,12-Oct,vs CGY,2,1,3,2,0,0,0,0,0,1,0,6,23:27,32,2016,1617,1,0:23:27,0:23:27,1407,CGY,CGY
128,07-Apr,vs VAN,0,2,2,1,0,0,1,0,0,0,0,4,22:24,23,2018,1718,1,0:22:24,0:22:24,1344,VAN,VAN
129,05-Apr,vs VGK,0,3,3,1,0,0,1,0,0,0,0,2,20:49,19,2018,1718,1,0:20:49,0:20:49,1249,VGK,OTHER
130,02-Apr,@ MIN,0,0,0,-3,0,0,0,0,0,0,0,4,21:32,22,2018,1718,0,0:21:32,0:21:32,1292,MIN,OTHER
131,31-Mar,@ CGY,0,0,0,-2,0,0,0,0,0,0,0,0,22:47,23,2018,1718,0,0:22:47,0:22:47,1367,CGY,CGY
132,29-Mar,@ VAN,1,0,1,1,0,0,0,0,0,0,0,4,22:22,22,2018,1718,0,0:22:22,0:22:22,1342,VAN,VAN
133,27-Mar,vs CBJ,1,2,3,-2,0,0,1,1,1,0,0,2,17:25,20,2018,1718,1,0:17:25,0:17:25,1045,CBJ,OTHER
134,25-Mar,vs ANA,1,2,3,0,0,0,1,0,0,0,0,4,20:23,23,2018,1718,1,0:20:23,0:20:23,1223,ANA,OTHER
135,24-Mar,vs LAK,2,0,2,2,0,0,0,0,0,1,0,5,22:43,23,2018,1718,1,0:22:43,0:22:43,1363,LAK,OTHER
136,22-Mar,@ OTT,2,2,4,4,0,0,0,0,0,0,0,5,20:52,24,2018,1718,0,0:20:52,0:20:52,1252,OTT,OTHER
137,20-Mar,@ CAR,0,1,1,-1,0,0,0,0,0,0,0,1,18:38,19,2018,1718,0,0:18:38,0:18:38,1118,CAR,OTHER
138,18-Mar,@ TBL,0,0,0,0,0,0,0,0,0,0,0,4,24:16:00,20,2018,1718,0,0:24:16,0:24:16,1456,TBL,OTHER
139,17-Mar,@ FLA,1,2,3,2,0,0,0,0,0,0,0,1,19:39,23,2018,1718,0,0:19:39,0:19:39,1179,FLA,OTHER
140,14-Mar,vs SJS,0,2,2,1,0,0,0,0,0,0,0,0,22:07,24,2018,1718,1,0:22:07,0:22:07,1327,SJS,OTHER
141,13-Mar,@ CGY,0,0,0,0,0,0,0,0,0,0,0,5,24:41:00,21,2018,1718,0,0:24:41,0:24:41,1481,CGY,CGY
142,10-Mar,vs MIN,2,1,3,2,0,1,1,0,0,1,0,3,19:47,22,2018,1718,1,0:19:47,0:19:47,1187,MIN,OTHER
143,08-Mar,vs NYI,1,0,1,0,0,0,0,0,0,0,0,9,27:27:00,26,2018,1718,1,0:27:27,0:27:27,1647,NYI,OTHER
