Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2024-03-03,@ LAK,0,0,0,-3,0,0,0,0,0,0,0,3,23:35,24,2024,202324,0,23:35,23:35,1415,LAK,LAK
2024-03-05,vs FLA,1,1,2,-2,0,1,1,0,0,0,0,3,20:25,24,2024,202324,1,20:25,20:25,1225,FLA,FLA
2024-03-07,vs STL,0,1,1,-1,0,0,0,0,0,0,0,2,16:21,21,2024,202324,1,16:21,16:21,981,STL,STL
2024-03-09,vs CAR,0,1,1,0,0,0,0,0,0,0,0,5,22:48,27,2024,202324,1,22:48,22:48,1368,CAR,CAR
2024-03-11,@ NYR,0,1,1,-1,0,0,0,0,0,0,0,1,23:47,25,2024,202324,0,23:47,23:47,1427,NYR,NYR
2024-03-14,@ DAL,0,0,0,1,0,0,0,0,0,0,0,0,18:53,23,2024,202324,0,18:53,18:53,1133,DAL,DAL
2024-03-16,@ ARI,0,1,1,-1,0,0,0,0,0,0,0,1,21:30,24,2024,202324,0,21:30,21:30,1290,ARI,ARI
2024-03-17,@ VEG,0,0,0,-2,0,0,0,0,0,0,0,3,21:31,24,2024,202324,0,21:31,21:31,1291,VEG,VEG
2024-03-19,vs PIT,0,2,2,1,0,0,0,0,0,0,0,4,19:15,23,2024,202324,1,19:15,19:15,1155,PIT,PIT
2024-03-21,vs WPG,2,0,2,0,0,2,2,0,0,0,0,10,20:36,19,2024,202324,1,20:36,20:36,1236,WPG,WPG
2024-03-23,vs OTT,0,0,0,0,0,0,0,0,0,0,0,3,20:56,22,2024,202324,1,20:56,20:56,1256,OTT,OTT
2024-03-24,@ NYI,1,1,2,2,0,0,0,0,0,0,0,3,20:41,23,2024,202324,0,20:41,20:41,1241,NYI,NYI
2024-03-26,@ TOR,2,0,2,2,0,0,0,0,0,0,0,4,19:59,22,2024,202324,0,19:59,19:59,1199,TOR,TOR
2024-03-29,@ BUF,0,0,0,-3,0,0,0,0,0,0,0,5,25:31,18,2024,202324,0,25:31,25:31,1531,BUF,BUF
