Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
43,2024-01-15,43,26-035,FLA,,ANA,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,5,0.0,21,20:43,2,1,0,0,
44,2024-01-17,44,26-037,FLA,,DET,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,24,17:43,4,0,0,0,
45,2024-01-19,45,26-039,FLA,,MIN,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,24,24:10,2,0,0,0,
46,2024-01-22,46,26-042,FLA,@,NSH,W,1,1,2,3,0,1,0,0,0,1,0,0,7,14.3,22,19:40,2,0,0,0,
47,2024-01-24,47,26-044,FLA,,ARI,W,2,1,3,3,0,2,0,0,0,0,1,0,3,66.7,20,14:18,2,0,0,0,
48,2024-01-26,48,26-046,FLA,@,PIT,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,26,17:06,1,0,0,0,
49,2024-01-27,49,26-047,FLA,@,NYI,W,1,1,2,-1,0,0,1,0,0,0,1,0,3,33.3,23,19:14,0,0,0,0,
50,2024-02-06,50,26-057,FLA,,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,18:42,2,0,0,0,
51,2024-02-08,51,26-059,FLA,,WSH,W,1,2,3,1,2,1,0,0,0,1,1,0,3,33.3,20,17:47,0,2,0,0,
52,2024-02-10,52,26-061,FLA,,COL,W,0,2,2,0,0,0,0,0,0,0,2,0,3,0.0,22,16:15,1,0,0,0,
53,2024-02-14,53,26-065,FLA,@,PIT,W,1,2,3,1,0,1,0,0,0,1,1,0,2,50.0,20,17:48,4,2,0,0,
54,2024-02-15,54,26-066,FLA,@,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,17:03,3,0,0,0,
55,2024-02-17,55,26-068,FLA,@,TBL,W,2,2,4,3,10,0,2,0,0,2,0,0,2,100.0,18,12:24,5,0,0,0,
56,2024-02-20,56,26-071,FLA,,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,6,0.0,22,20:11,4,0,0,0,
57,2024-02-22,57,26-073,FLA,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:39,1,0,0,0,
58,2024-02-27,58,26-078,FLA,,BUF,W,1,1,2,1,2,0,1,0,0,0,1,0,7,14.3,23,22:01,2,1,0,0,
59,2024-02-29,59,26-080,FLA,,MTL,W,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,21,23:36,2,0,0,0,
60,2024-03-02,60,26-082,FLA,@,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,19,20:24,7,0,0,0,
61,2024-03-04,61,26-084,FLA,@,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,25,20:10,1,0,0,0,
62,2024-03-05,62,26-085,FLA,@,NJD,W,0,3,3,2,0,0,0,0,0,2,1,0,1,0.0,24,18:07,0,1,0,0,
63,2024-03-07,63,26-087,FLA,,PHI,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,24,20:07,2,2,0,0,
64,2024-03-09,64,26-089,FLA,,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,19,16:07,4,0,0,0,
65,2024-03-12,65,26-092,FLA,@,DAL,W,0,2,2,0,0,0,0,0,0,1,1,0,4,0.0,22,19:31,3,1,0,0,
66,2024-03-14,66,26-094,FLA,@,CAR,L,0,0,0,-2,6,0,0,0,0,0,0,0,1,0.0,17,13:06,2,0,0,0,
67,2024-03-16,67,26-096,FLA,,TBL,L,1,1,2,-1,0,0,0,1,0,0,1,0,7,14.3,25,23:42,1,1,0,0,
68,2024-03-21,68,26-101,FLA,,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,17:51,4,0,0,0,
69,2024-03-23,69,26-103,FLA,@,NYR,L-SO,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,30,20:58,2,1,0,0,
70,2024-03-24,70,26-104,FLA,@,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,16:59,2,0,0,0,
71,2024-03-26,71,26-106,FLA,,BOS,L,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,22,19:22,8,0,0,0,
72,2024-03-28,72,26-108,FLA,,NYI,L,0,0,0,-3,2,0,0,0,0,0,0,0,4,0.0,21,17:16,4,0,0,0,
73,2024-03-30,73,26-110,FLA,,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,16:37,2,0,0,0,
74,2024-04-01,74,26-112,FLA,@,TOR,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,25,19:32,2,0,0,0,
75,2024-04-04,75,26-115,FLA,@,OTT,W,1,2,3,2,0,0,1,0,0,2,0,0,1,100.0,18,12:56,3,0,0,0,
76,2024-04-06,76,26-117,FLA,@,BOS,L-OT,1,0,1,1,4,1,0,0,0,0,0,0,5,20.0,25,18:45,2,0,0,1,0.0
77,2024-04-09,77,26-120,FLA,,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,19:12,1,0,0,0,
78,2024-04-11,78,26-122,FLA,,CBJ,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,18,17:17,1,1,0,0,
79,2024-04-13,79,26-124,FLA,,BUF,W,0,1,1,2,0,0,0,0,0,1,0,0,7,0.0,22,22:08,1,0,0,0,
80,2024-04-16,80,26-127,FLA,,TOR,W,0,2,2,2,2,0,0,0,0,2,0,0,8,0.0,21,18:27,2,0,0,0,
1,2022-10-13,1,24-306,FLA,@,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,27,22:58,1,0,1,0,100.0
2,2022-10-15,2,24-308,FLA,@,BUF,W,1,1,2,-1,4,1,0,0,0,0,1,0,4,25.0,24,20:05,0,0,1,1,50.0
3,2022-10-17,3,24-310,FLA,@,BOS,L,0,1,1,-2,4,0,0,0,0,1,0,0,6,0.0,21,21:36,1,1,0,1,0.0
4,2022-10-19,4,24-312,FLA,,PHI,W,0,2,2,2,0,0,0,0,0,2,0,0,4,0.0,23,18:49,0,0,1,0,100.0
5,2022-10-21,5,24-314,FLA,,TBL,L-OT,1,1,2,1,6,1,0,0,0,1,0,0,6,16.7,27,21:04,0,1,3,2,60.0
6,2022-10-23,6,24-316,FLA,,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,21,19:02,1,1,0,1,0.0
7,2022-10-25,7,24-318,FLA,@,CHI,L,1,0,1,-2,2,1,0,0,0,0,0,0,3,33.3,24,22:26,1,0,0,0,
8,2022-10-27,8,24-320,FLA,@,PHI,L,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,24,24:27,1,0,0,1,0.0
9,2022-10-29,9,24-322,FLA,,OTT,W,1,2,3,4,0,1,0,0,0,1,1,0,7,14.3,24,20:52,1,0,0,0,
10,2022-11-01,10,24-325,FLA,@,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,26,23:27,1,0,0,1,0.0
11,2022-11-03,11,24-327,FLA,@,SJS,W,0,3,3,2,0,0,0,0,0,2,1,0,10,0.0,27,24:42,2,0,0,0,
12,2022-11-05,12,24-329,FLA,@,LAK,L,0,1,1,2,12,0,0,0,0,1,0,0,3,0.0,25,21:49,1,0,0,0,
13,2022-11-12,13,24-336,FLA,,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,23,20:48,1,0,0,1,0.0
14,2022-11-15,14,24-339,FLA,,WSH,W,0,3,3,4,2,0,0,0,0,2,1,0,0,,23,16:47,2,0,0,0,
15,2022-11-17,15,24-341,FLA,,DAL,L,1,1,2,0,5,1,0,0,0,1,0,0,4,25.0,25,19:14,0,0,0,0,
16,2022-11-19,16,24-343,FLA,,CGY,L-SO,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,25,21:59,1,1,0,0,
17,2022-11-20,17,24-344,FLA,@,CBJ,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,22,22:16,1,0,0,0,
18,2022-11-23,18,24-347,FLA,,BOS,W,1,1,2,0,0,0,1,0,0,0,1,0,6,16.7,21,18:43,0,2,0,0,
19,2022-11-26,19,24-350,FLA,,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,20:17,1,0,0,0,
20,2022-11-28,20,24-352,FLA,@,EDM,L-OT,1,1,2,-1,0,1,0,0,0,0,1,0,4,25.0,24,23:01,0,1,0,0,
21,2022-11-29,21,24-353,FLA,@,CGY,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,21,21:50,0,0,0,1,0.0
22,2022-12-01,22,24-355,FLA,@,VAN,W,1,2,3,2,0,1,0,0,0,2,0,0,3,33.3,20,18:56,0,0,0,0,
23,2022-12-03,23,24-357,FLA,@,SEA,W,1,1,2,1,0,0,1,0,0,0,1,0,3,33.3,26,18:59,1,1,0,0,
