Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
42,2024-01-11,42,30-303,VAN,@,PIT,W,0,3,3,1,2,0,0,0,0,2,1,0,1,0.0,30,19:27,2,0,6,15,28.6
43,2024-01-13,43,30-305,VAN,@,BUF,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,31,17:53,4,0,18,8,69.2
44,2024-01-15,44,30-307,VAN,@,CBJ,L-SO,1,1,2,1,2,1,0,0,0,0,1,0,2,50.0,30,19:06,0,0,11,10,52.4
45,2024-01-18,45,30-310,VAN,,ARI,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,25,21:49,0,0,17,2,89.5
46,2024-01-20,46,30-312,VAN,,TOR,W,1,1,2,-2,0,0,1,0,1,0,1,0,1,100.0,25,19:01,9,2,10,15,40.0
47,2024-01-22,47,30-314,VAN,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:36,3,2,5,4,55.6
48,2024-01-24,48,30-316,VAN,,STL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,26,23:29,4,0,10,9,52.6
49,2024-01-27,49,30-319,VAN,,CBJ,W,0,3,3,-1,0,0,0,0,0,1,2,0,4,0.0,28,20:31,0,0,13,4,76.5
50,2024-02-06,50,30-329,VAN,@,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,24,18:09,3,0,11,8,57.9
51,2024-02-08,51,30-331,VAN,@,BOS,L,0,0,0,-2,4,0,0,0,0,0,0,0,1,0.0,19,13:54,2,0,4,4,50.0
52,2024-02-10,52,30-333,VAN,@,DET,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,8,0.0,27,18:56,1,2,8,4,66.7
53,2024-02-11,53,30-334,VAN,@,WSH,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,24,18:44,1,2,2,5,28.6
54,2024-02-13,54,30-336,VAN,@,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,18:58,1,0,8,4,66.7
55,2024-02-15,55,30-338,VAN,,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,25,19:38,4,0,9,5,64.3
56,2024-02-17,56,30-340,VAN,,WPG,L,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,23,22:22,3,0,9,6,60.0
57,2024-02-19,57,30-342,VAN,@,MIN,L,3,1,4,2,2,2,1,0,0,1,0,0,4,75.0,27,19:18,5,2,7,4,63.6
58,2024-02-20,58,30-343,VAN,@,COL,L,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,25,19:24,1,0,11,5,68.8
59,2024-02-22,59,30-345,VAN,@,SEA,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,24,21:05,2,2,3,10,23.1
60,2024-02-24,60,30-347,VAN,,BOS,W,0,3,3,2,0,0,0,0,0,2,1,0,4,0.0,31,20:26,8,1,13,6,68.4
61,2024-02-27,61,30-350,VAN,,PIT,L-OT,1,1,2,0,0,0,0,1,0,0,1,0,4,25.0,32,21:39,4,1,12,10,54.5
62,2024-02-29,62,30-352,VAN,,LAK,L,0,1,1,-2,0,0,0,0,0,0,1,0,5,0.0,25,19:50,7,0,9,7,56.3
63,2024-03-03,63,30-355,VAN,@,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,20:07,2,1,12,5,70.6
64,2024-03-05,64,30-357,VAN,@,LAK,W,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,29,19:55,3,0,14,7,66.7
65,2024-03-07,65,30-359,VAN,@,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,20:15,5,2,4,13,23.5
66,2024-03-09,66,30-361,VAN,,WPG,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,23,15:55,2,1,5,5,50.0
67,2024-03-13,67,30-365,VAN,,COL,L-OT,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,24,17:17,2,0,10,5,66.7
68,2024-03-16,68,31-002,VAN,,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,20:48,5,0,11,5,68.8
69,2024-03-19,69,31-005,VAN,,BUF,W,0,2,2,0,0,0,0,0,0,1,1,0,6,0.0,23,19:44,1,2,8,9,47.1
70,2024-03-21,70,31-007,VAN,,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,17:48,5,2,9,6,60.0
71,2024-03-23,71,31-009,VAN,,CGY,W,1,0,1,-1,2,0,1,0,1,0,0,0,4,25.0,24,15:51,1,2,12,5,70.6
72,2024-03-25,72,31-011,VAN,,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,26,21:00,8,1,14,10,58.3
73,2024-03-28,73,31-014,VAN,,DAL,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,24,20:36,2,0,8,9,47.1
74,2024-03-31,74,31-017,VAN,,ANA,W,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,21,19:00,2,0,16,5,76.2
75,2024-04-02,75,31-019,VAN,@,VEG,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,24,19:22,2,0,14,9,60.9
76,2024-04-03,76,31-020,VAN,@,ARI,W,0,1,1,0,7,0,0,0,0,0,1,0,3,0.0,24,17:58,2,0,16,5,76.2
77,2024-04-06,77,31-023,VAN,@,LAK,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,21,18:14,3,0,11,9,55.0
78,2024-04-08,78,31-025,VAN,,VEG,W,0,3,3,1,0,0,0,0,0,1,2,0,2,0.0,23,20:02,2,3,14,8,63.6
79,2024-04-10,79,31-027,VAN,,ARI,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,20:35,0,0,13,4,76.5
80,2024-04-13,80,31-030,VAN,@,EDM,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,21,17:36,0,1,5,3,62.5
81,2024-04-16,81,31-033,VAN,,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,23,17:14,3,0,5,8,38.5
1,2022-10-12,1,29-212,VAN,@,EDM,L,1,1,2,-1,0,1,0,0,0,0,1,0,2,50.0,28,22:01,2,0,11,9,55.0
2,2022-10-15,2,29-215,VAN,@,PHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,21:42,2,1,4,5,44.4
3,2022-10-17,3,29-217,VAN,@,WSH,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,22,17:36,2,0,6,5,54.5
4,2022-10-18,4,29-218,VAN,@,CBJ,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,18:15,1,1,4,9,30.8
5,2022-10-20,5,29-220,VAN,@,MIN,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,22,20:07,1,1,4,5,44.4
6,2022-10-22,6,29-222,VAN,,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,20:59,3,0,3,8,27.3
7,2022-10-24,7,29-224,VAN,,CAR,L,2,0,2,1,0,1,1,0,0,0,0,0,2,100.0,30,21:46,4,0,0,1,0.0
8,2022-10-27,8,29-227,VAN,@,SEA,W,0,1,1,0,5,0,0,0,0,0,1,0,1,0.0,27,21:43,4,1,0,0,
9,2022-10-28,9,29-228,VAN,,PIT,W,1,0,1,1,4,1,0,0,0,0,0,0,3,33.3,30,22:24,3,2,0,0,
10,2022-11-01,10,29-232,VAN,,NJD,L,0,2,2,-1,0,0,0,0,0,0,2,0,0,,21,21:45,2,0,0,0,
11,2022-11-03,11,29-234,VAN,,ANA,W,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,22,18:52,1,0,0,0,
12,2022-11-05,12,29-236,VAN,,NSH,L-SO,1,1,2,0,0,1,0,0,0,0,1,0,4,25.0,29,23:26,2,0,0,1,0.0
13,2022-11-08,13,29-239,VAN,@,OTT,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,28,22:19,2,2,8,6,57.1
14,2022-11-09,14,29-240,VAN,@,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,18:19,0,0,9,4,69.2
15,2022-11-12,15,29-243,VAN,@,TOR,L,1,0,1,-2,0,0,1,0,0,0,0,0,4,25.0,23,23:06,2,2,2,3,40.0
16,2022-11-13,16,29-244,VAN,@,BOS,L,1,0,1,-2,0,0,1,0,0,0,0,0,2,50.0,25,22:58,4,2,0,1,0.0
17,2022-11-15,17,29-246,VAN,@,BUF,W,1,0,1,1,0,0,1,0,0,0,0,0,4,25.0,26,25:05,0,1,1,3,25.0
18,2022-11-18,18,29-249,VAN,,LAK,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,24,20:28,4,0,1,0,100.0
19,2022-11-21,19,29-252,VAN,,VEG,L,0,1,1,-3,2,0,0,0,0,1,0,0,3,0.0,23,21:42,0,0,0,0,
20,2022-11-23,20,29-254,VAN,@,COL,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,25,21:58,1,1,0,2,0.0
21,2022-11-26,21,29-257,VAN,@,VEG,W,1,1,2,1,0,0,1,0,1,1,0,0,3,33.3,26,18:27,1,0,1,0,100.0
22,2022-11-27,22,29-258,VAN,@,SJS,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,25,18:46,3,0,0,0,
23,2022-11-29,23,29-260,VAN,,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,17:46,1,1,0,0,
24,2022-12-01,24,29-262,VAN,,FLA,L,0,0,0,-1,5,0,0,0,0,0,0,0,3,0.0,25,20:43,4,0,0,0,
25,2022-12-03,25,29-264,VAN,,ARI,W,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,27,25:22,6,0,0,0,
26,2022-12-05,26,29-266,VAN,,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,19:41,1,0,0,0,
27,2022-12-07,27,29-268,VAN,@,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,18:17,3,1,1,0,100.0
28,2022-12-10,28,29-271,VAN,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,22,18:06,2,0,1,1,50.0
29,2022-12-14,29,29-275,VAN,@,CGY,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,29,22:44,4,2,0,1,0.0
30,2022-12-17,30,29-278,VAN,,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,17:48,5,0,3,2,60.0
31,2022-12-19,31,29-280,VAN,,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,24,21:42,3,1,4,5,44.4
32,2022-12-22,32,29-283,VAN,,SEA,W,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,25,22:22,0,0,9,7,56.3
