Year,Player Name,fantasy_points,fppg,Pos_D_norm,Pos_LW_norm,Pos_RW_norm,GP_norm,G_norm,A_norm,SOG_norm,PPG_norm,PPA_norm,SHG_norm,SHA_norm,Hits_norm,BS_norm
2023,Nathan MacKinnon,747.0,9.109756097560975,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,1.2078541566636496,4.030523662519864,4.967960883229115,4.663164536371829,2.1861525141848097,5.412150567507751,-0.45113597788852455,-0.4869995581362167,-0.4381829840938691,0.5075602823645079
2023,Auston Matthews,679.75,8.391975308641975,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,1.1481922439703873,5.855708667794387,1.356721218879651,4.0898423594399205,4.460613300776908,1.0629179188327604,-0.45113597788852455,0.9357636137741353,0.22203974874439358,1.130221970346995
2023,Nikita Kucherov,679.75,8.391975308641975,-0.7028108361424706,-0.5021380379234317,2.375529420632071,1.1481922439703873,3.3207294938019944,5.746855712794686,3.0865285498090826,3.0390753091568463,5.7343159488910835,-0.45113597788852455,-0.4869995581362167,-0.6079545439665651,-0.37454377561068186
2023,Connor McDavid,626.5,8.243421052631579,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,0.8498826805040764,2.1039394902856463,5.746855712794686,2.4017270606959706,1.3332297192127727,5.251067876816085,0.9061114109080152,-0.4869995581362167,0.7690814416675255,-0.2707668276136007
2023,David Pastrnak,618.5,7.5426829268292686,-0.7028108361424706,-0.5021380379234317,2.375529420632071,1.2078541566636496,3.6249269946810814,3.1269367406195845,4.296875367776443,2.754767710832834,2.995910207132756,-0.45113597788852455,-0.4869995581362167,-0.13636687765352043,-0.7896515675990065
2023,Artemi Panarin,599.0,7.304878048780488,-0.7028108361424706,1.9909209003621455,-0.42083971088120603,1.2078541566636496,3.827725328600473,3.693405707576363,3.0387517017314236,2.470460112508822,4.6067371140494195,-0.45113597788852455,0.9357636137741353,-1.1172692235846535,-0.8934285155960876
2023,Filip Forsberg,584.75,7.1310975609756095,-0.7028108361424706,-0.5021380379234317,2.375529420632071,1.2078541566636496,3.7263261616407775,1.9231901858364298,3.7394788068704217,3.0390753091568463,2.351579444366091,-0.45113597788852455,-0.4869995581362167,1.2029420946755267,-0.14104564261724928
2023,J.T. Miller,550.0,6.790123456790123,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,1.1481922439703873,2.6109353250841245,3.339362603228376,1.3028595549098148,2.1861525141848097,4.123489041974421,2.263358799704555,-0.4869995581362167,2.617705093614661,0.3000063863703456
2023,Mikko Rantanen,548.25,6.853125,-0.7028108361424706,-0.5021380379234317,2.375529420632071,1.088530331277125,3.117931159882603,3.056128119749987,2.5291319889030612,3.323382907480859,3.479158279207755,-0.45113597788852455,-0.4869995581362167,-0.45704649074639087,-0.011324457620897854
2023,Brady Tkachuk,546.25,6.743827160493828,-0.7028108361424706,1.9909209003621455,-0.42083971088120603,1.1481922439703873,2.6109353250841245,1.2859125980100536,3.898734967129285,2.754767710832834,0.9018352281410942,-0.45113597788852455,-0.4869995581362167,4.070195105858839,-0.40048801260995215
2023,Sam Reinhart,546.0,6.658536585365853,-0.7028108361424706,-0.5021380379234317,2.375529420632071,1.2078541566636496,4.638918664278038,1.2859125980100536,1.9239585799193812,7.019381685693019,0.41858715606609526,6.335100966094174,-0.4869995581362167,-0.023185837738389677,0.42972757136669704
2023,William Nylander,542.5,6.615853658536586,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,1.2078541566636496,2.915132825963212,2.7728936362715975,3.2457847100679458,2.470460112508822,3.1569928978244226,3.6206061885010947,0.9357636137741353,-0.8531801304493485,-0.5302091976063036
2023,Kirill Kaprizov,528.0,7.04,-0.7028108361424706,1.9909209003621455,-0.42083971088120603,0.7902207678108142,3.5235278277213857,2.206424669314819,2.6246856850583793,4.74492089910092,2.83482751644109,-0.45113597788852455,-0.4869995581362167,-0.4381829840938691,-0.296711064612871
2023,Sidney Crosby,527.5,6.432926829268292,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,1.2078541566636496,3.117931159882603,2.348041911054014,2.640611301084266,2.1861525141848097,1.3850833002160932,-0.45113597788852455,-0.4869995581362167,0.42953832192213326,-0.3226553016121413
2023,Leon Draisaitl,519.5,6.41358024691358,-0.7028108361424706,-0.5021380379234317,-0.42083971088120603,1.1481922439703873,3.0165319929229075,3.268553982358779,1.6691487235052003,5.313536095748945,2.1904967536744246,-0.45113597788852455,2.3585267856844876,-0.3627289574837819,-0.6080419086041144
2023,Roman Josi,512.5,6.25,1.4224554647673955,-0.5021380379234317,-0.42083971088120603,1.2078541566636496,1.191346987648385,3.056128119749987,2.481355140825402,1.9018449158607973,3.1569928978244226,-0.45113597788852455,0.9357636137741353,-0.5890910373140433,2.6349877163046713
2023,Cale Makar,508.25,6.60064935064935,1.4224554647673955,-0.5021380379234317,-0.42083971088120603,0.9095445931973386,0.9885486537289937,3.551788465837168,1.8921073478676087,1.3332297192127727,4.445654423357753,0.9061114109080152,3.7812899575948395,-0.7588625971867395,2.5571550053068606
2023,Zach Hyman,497.25,6.215625,-0.7028108361424706,-0.5021380379234317,2.375529420632071,1.088530331277125,4.334721163398951,0.294591905835691,2.8317186933949015,3.607690505804871,0.09642177468276265,-0.45113597788852455,-0.4869995581362167,0.18431273543935,-0.3226553016121413
